scenario,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_false_positives
canonical_stress20,42,20000,500,1.0,vanilla_ec,30.0,27.5,83.3,547.4,0.0,80000,0.0,0,0,0,0,0
canonical_stress20,42,20000,500,1.0,late_binding,30.0,14.6,34.4,42.0,92.3,100000,25.0,20000,20000,15811,0,0
canonical_stress20,42,20000,500,1.0,timeout_degraded_read,30.0,27.4,43.2,46.4,91.5,89777,12.2,9777,9777,8611,0,0
canonical_stress20,42,20000,500,1.0,health_ec,30.0,16.4,69.1,99.5,81.8,86355,7.9,6355,6355,6352,2646,0
canonical_stress20,43,20000,500,1.0,vanilla_ec,30.0,27.4,83.0,546.7,0.0,80000,0.0,0,0,0,0,0
canonical_stress20,43,20000,500,1.0,late_binding,30.0,14.7,34.1,41.3,92.4,100000,25.0,20000,20000,15906,0,0
canonical_stress20,43,20000,500,1.0,timeout_degraded_read,30.0,27.1,43.2,46.6,91.5,89765,12.2,9765,9765,8580,0,0
canonical_stress20,43,20000,500,1.0,health_ec,30.0,16.4,69.7,97.5,82.2,86358,7.9,6358,6358,6358,2700,1
canonical_stress20,44,20000,500,1.0,vanilla_ec,30.0,28.4,83.0,548.2,0.0,80000,0.0,0,0,0,0,0
canonical_stress20,44,20000,500,1.0,late_binding,30.0,14.6,34.3,41.7,92.4,100000,25.0,20000,20000,15934,0,0
canonical_stress20,44,20000,500,1.0,timeout_degraded_read,30.0,28.2,43.2,46.5,91.5,89853,12.3,9853,9853,8640,0,0
canonical_stress20,44,20000,500,1.0,health_ec,30.0,16.4,69.6,99.6,81.8,86324,7.9,6324,6324,6324,2685,0
canonical_stress20,45,20000,500,1.0,vanilla_ec,30.0,27.1,84.1,550.3,0.0,80000,0.0,0,0,0,0,0
canonical_stress20,45,20000,500,1.0,late_binding,30.0,14.6,34.3,41.6,92.4,100000,25.0,20000,20000,15813,0,0
canonical_stress20,45,20000,500,1.0,timeout_degraded_read,30.0,27.1,43.2,46.3,91.6,89793,12.2,9793,9793,8537,0,0
canonical_stress20,45,20000,500,1.0,health_ec,30.0,16.3,70.2,101.1,81.6,86298,7.9,6298,6298,6298,2661,2
canonical_stress20,46,20000,500,1.0,vanilla_ec,30.0,28.0,83.6,551.8,0.0,80000,0.0,0,0,0,0,0
canonical_stress20,46,20000,500,1.0,late_binding,30.0,14.7,34.0,41.2,92.5,100000,25.0,20000,20000,15899,0,0
canonical_stress20,46,20000,500,1.0,timeout_degraded_read,30.0,27.8,43.3,46.8,91.5,89806,12.3,9806,9806,8623,0,0
canonical_stress20,46,20000,500,1.0,health_ec,30.0,16.4,70.3,96.9,82.4,86386,8.0,6386,6386,6375,2652,5
