scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,42,100000,500,1.0,20,5000,vanilla_ec,15.0,14.1,65.4,91.7,0.0,504.4,3339.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,42,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.4,78.9,38.0,50.8,500000,25.0,100000,15000,10460,100000,81603,0,0,0,-1,-1,2,28874
dynamic_degradation,42,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.1,26.5,29.7,67.6,132.4,141.4,442438,10.6,42438,2502,8969,42438,23598,0,0,0,-1,2,2,18604
dynamic_degradation,42,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.7,79.1,13.7,420.4,609.3,416355,4.1,16355,15,4113,16355,16131,4491,4160,331,680,25,25,8630
dynamic_degradation,43,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.1,0.0,501.2,3360.1,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,43,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.0,37.7,50.5,500000,25.0,100000,15000,10461,100000,81500,0,0,0,-1,-1,0,28613
dynamic_degradation,43,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,131.4,139.8,441865,10.5,41865,2359,8986,41865,23315,0,0,0,-1,0,0,18406
dynamic_degradation,43,100000,500,1.0,20,5000,health_ec,15.0,13.1,46.7,78.5,13.8,415.8,587.3,416264,4.1,16264,0,4148,16264,16051,4422,4087,335,681,19,19,8781
dynamic_degradation,44,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,90.7,0.0,500.6,3337.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,44,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.8,38.9,50.9,500000,25.0,100000,15000,10544,100000,81359,0,0,0,-1,-1,4,28979
