scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,42,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,91.0,0.0,503.2,3334.1,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,42,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.0,38.4,50.8,500000,25.0,100000,15000,10460,100000,81644,0,0,0,-1,-1,2,28874
dynamic_degradation,42,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,131.7,144.3,442398,10.6,42398,2463,8969,42398,23670,0,0,0,-1,2,10,18576
dynamic_degradation,42,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.6,71.9,21.0,360.5,524.8,400796,0.2,796,10,3,796,789,31,31,0,657,19,19,105
dynamic_degradation,43,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.8,92.0,0.0,506.2,3332.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,43,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.2,38.2,50.2,500000,25.0,100000,15000,10461,100000,81387,0,0,0,-1,-1,0,28613
dynamic_degradation,43,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.7,133.7,144.4,441847,10.5,41847,2418,8955,41847,23406,0,0,0,-1,0,2,18311
dynamic_degradation,43,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.0,72.0,21.8,360.7,531.1,400859,0.2,859,0,5,859,834,31,30,1,655,9,9,101
dynamic_degradation,44,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,90.2,0.0,504.3,3311.4,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,44,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,78.7,37.0,50.4,500000,25.0,100000,15000,10544,100000,81563,0,0,0,-1,-1,4,28979
dynamic_degradation,44,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.1,131.2,140.1,442432,10.6,42432,2541,9092,42432,23746,0,0,0,-1,4,13,18522
dynamic_degradation,44,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.3,71.7,20.5,358.8,516.8,400753,0.2,753,0,4,753,744,30,30,0,654,16,16,98
dynamic_degradation,45,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,91.1,0.0,507.8,3327.1,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,45,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.0,36.8,50.5,500000,25.0,100000,15000,10374,100000,81557,0,0,0,-1,-1,0,28581
dynamic_degradation,45,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,133.0,144.4,442013,10.5,42013,2408,8915,42013,23600,0,0,0,-1,0,3,18316
dynamic_degradation,45,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.9,71.4,21.6,360.3,532.1,400799,0.2,799,3,3,799,790,32,32,0,651,19,19,40
dynamic_degradation,46,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.1,0.0,504.9,3338.2,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,46,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,38.3,51.9,500000,25.0,100000,15000,10435,100000,81410,0,0,0,-1,-1,2,28591
dynamic_degradation,46,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,133.8,144.9,441901,10.5,41901,2350,8980,41901,23378,0,0,0,-1,2,2,18355
dynamic_degradation,46,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.8,71.5,21.6,358.2,526.2,400827,0.2,827,0,3,827,810,33,32,1,651,4,4,111
dynamic_degradation,47,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,64.9,91.1,0.0,503.6,3330.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,47,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.9,37.5,49.9,500000,25.0,100000,15000,10389,100000,81503,0,0,0,-1,-1,0,28698
dynamic_degradation,47,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.4,29.5,67.6,130.3,140.0,442107,10.5,42107,2460,8922,42107,23409,0,0,0,-1,0,0,18439
dynamic_degradation,47,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.5,71.9,21.1,356.6,527.7,400864,0.2,864,7,4,864,847,31,31,0,664,10,10,52
dynamic_degradation,48,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.7,0.0,505.9,3332.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,48,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,79.1,35.8,49.5,500000,25.0,100000,15000,10429,100000,81380,0,0,0,-1,-1,3,28691
dynamic_degradation,48,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,133.4,143.7,442171,10.5,42171,2437,8938,42171,23417,0,0,0,-1,3,9,18415
dynamic_degradation,48,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.0,70.9,22.7,353.8,529.3,400863,0.2,863,5,3,863,847,32,32,0,647,12,12,58
dynamic_degradation,49,100000,500,1.0,20,5000,vanilla_ec,15.0,14.1,65.6,91.4,0.0,507.5,3334.7,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,49,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.0,37.9,49.3,500000,25.0,100000,15000,10474,100000,81654,0,0,0,-1,-1,0,28637
dynamic_degradation,49,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.1,26.5,29.7,67.6,132.1,143.7,442498,10.6,42498,2438,9015,42498,23778,0,0,0,-1,0,0,18480
dynamic_degradation,49,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.2,72.2,21.0,361.8,530.1,400790,0.2,790,0,5,790,778,30,30,0,664,15,15,87
dynamic_degradation,50,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.2,0.0,502.6,3328.8,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,50,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,37.4,51.2,500000,25.0,100000,15000,10457,100000,81549,0,0,0,-1,-1,1,28847
dynamic_degradation,50,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.5,133.0,144.0,442109,10.5,42109,2473,8991,42109,23483,0,0,0,-1,1,2,18486
dynamic_degradation,50,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.1,71.4,21.7,356.5,525.9,400920,0.2,920,0,5,920,894,32,32,0,639,24,24,80
dynamic_degradation,51,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.9,0.0,503.9,3314.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
