candidate_id,grid_name,a_abs,b_abs,theta_s,theta_d,theta_d_mult,seeds,num_runs,feasible,p50_ms_median,p50_ms_min,p50_ms_max,p50_ms_sum,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_sum,p99_ms_median,p99_ms_min,p99_ms_max,p99_ms_sum,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,p99_improvement_pct_sum,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p95_auc_ms_sum,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,post_onset_p99_auc_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,parity_reads_median,parity_reads_min,parity_reads_max,parity_reads_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,proactive_or_degraded_reads_sum,decode_count_median,decode_count_min,decode_count_max,decode_count_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_detection_latency_reads_sum,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,first_mitigation_latency_reads_sum,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,recovery_regret_reads_sum
expanded|A=15|B=15|S=1.7|D=1.7,expanded,15,15,1.7,1.7,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.8,12.8,12.9,128.1,32.1,31.6,32.5,320.4,71.45,70.4,72.6,713.4,21.7,20.9,23.3,219.1,357.4,349.8,362.1,3569.3,526.75,509.8,537.6,5264.1,0.2,0.2,0.2,2,823,754,888,8233,0.5,0,10,23,3,2,4,32,823,754,888,8233,806.5,744,869,8084,32,31,32,316,32,31,32,316,0,0,0,0,652,642,664,6523,10,3,29,126,11,3,29,130,72.5,48,108,735
expanded|A=15|B=15|S=1.7|D=2.55,expanded,15,15,1.7,2.55,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.85,12.8,12.9,128.5,32.2,31.7,32.6,321.7,71.45,70.4,72.6,714.1,21.6,20.9,23.2,218.4,358.75,350.5,363.8,3582.3,527.65,511.8,538.8,5275.9,0.4,0.4,0.4,4,1506,1409,1560,14964,0.5,0,10,23,20,16,32,206,1506,1409,1560,14964,1487,1395,1540,14772,24,23,24,239,24,23,24,239,0,0,0,0,666,657,676,6665,10,3,29,126,11,3,29,130,316,302,353,3187
expanded|A=15|B=15|S=1.7|D=3.4,expanded,15,15,1.7,3.4,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.6,32.3,31.9,32.7,322.8,71.45,70.5,72.7,714.3,21.55,20.9,23.2,218,359.6,352.2,365,3593.2,528.25,514,539.6,5285.3,0.55,0.5,0.6,5.5,2217.5,2052,2285,21945,0.5,0,10,23,75.5,54,101,758,2217.5,2052,2285,21945,2191.5,2036,2263,21694,18,18,18,180,18,18,18,180,0,0,0,0,676.5,669,688,6777,10,3,29,126,11,3,29,130,648.5,608,681,6464
expanded|A=20|B=10|S=1.7|D=4.25,expanded,20,10,1.7,4.25,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.9,32.4,32.1,32.7,324,71.55,70.6,72.7,715.2,21.55,20.7,23.2,217,360.55,354.5,365.4,3604.3,528.35,514.3,539.9,5291.7,0.6,0.5,0.6,5.8,2317.5,2143,2462,22899,0,0,0,0,163.5,77,298,1695,2317.5,2143,2462,22899,2295.5,2130,2433,22700,16,15,16,159,16,15,16,159,0,0,0,0,678.5,670,692,6798,11,5,95,215,11,5,95,215,841.5,750,961,8471
expanded|A=15|B=20|S=1.7|D=1.7,expanded,15,20,1.7,1.7,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.85,12.8,12.9,128.5,32.45,32,32.9,324.6,71.55,70.6,72.7,715.5,21.45,20.6,23.1,216.9,360.2,353.3,366.4,3602,528.85,512.9,539.4,5288.3,0.3,0.2,0.3,2.7,1027,926,1134,10324,0.5,0,10,18,4,2,6,40,1027,926,1134,10324,1008,913,1108,10127,31,29,32,307,31,29,32,307,0,0,0,0,658,649,671,6589,10,3,29,126,11,3,29,130,105,47,132,950
expanded|A=20|B=10|S=1.7|D=5.1,expanded,20,10,1.7,5.1,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.9,32.4,32.1,32.7,324,71.6,70.6,72.7,715.3,21.5,20.7,23.2,217,360.6,354.5,365.5,3606.1,528.9,514.5,540.8,5294.7,0.7,0.7,0.7,7,2792,2605,2921,27865,0,0,0,0,270,213,361,2760,2792,2605,2921,27865,2768.5,2587,2888,27619,14,14,14,140,14,14,14,140,0,0,0,0,685,675,696,6852,11,5,95,215,11,5,95,215,1080,1017,1190,10844
expanded|A=20|B=15|S=1.7|D=1.7,expanded,20,15,1.7,1.7,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.8,32.6,32.2,32.9,325.7,71.65,70.6,72.7,715.9,21.55,20.6,23.1,216.4,361.2,354.1,366.2,3608.9,529,513.3,540.7,5293.7,0.2,0.2,0.2,2,668.5,619,750,6726,0,0,0,0,3.5,1,8,39,668.5,619,750,6726,661,618,741,6675,31,30,32,313,31,30,32,313,0,0,0,0,655,644,668,6563,11,5,95,215,11,5,95,215,75.5,39,105,768
expanded|A=15|B=15|S=1.7|D=4.25,expanded,15,15,1.7,4.25,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.8,32.4,31.9,32.7,323.2,71.5,70.6,72.7,714.7,21.55,20.9,23.2,217.8,360.45,353.2,365.6,3598.8,529.1,514.6,540.1,5289.9,0.7,0.6,0.7,6.9,2793.5,2582,2990,27982,0.5,0,10,23,148.5,75,194,1461,2793.5,2582,2990,27982,2765.5,2551,2949,27668,15,14,16,153,15,14,16,153,0,0,0,0,685,673,693,6841,10,3,29,126,11,3,29,130,831.5,754,1007,8683
expanded|A=15|B=15|S=1.7|D=5.1,expanded,15,15,1.7,5.1,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.9,32.4,31.9,32.7,323.3,71.5,70.6,72.7,714.7,21.55,20.9,23.2,217.8,360.4,353.4,365.7,3600.4,529.25,515,540.7,5293.1,0.8,0.8,0.9,8.1,3188,3065,3413,32309,0.5,0,10,23,211.5,158,250,2087,3188,3065,3413,32309,3157,3034,3373,31947,14,14,14,140,14,14,14,140,0,0,0,0,687.5,677,697,6868,10,3,29,126,11,3,29,130,1022,970,1076,10248
expanded|A=20|B=15|S=1.7|D=2.55,expanded,20,15,1.7,2.55,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,12.9,12.8,12.9,128.9,32.7,32.3,33,326.6,71.75,70.7,72.7,716.5,21.5,20.6,23,216,362.55,355.1,366.8,3619.6,529.4,514.1,541.1,5301.3,0.3,0.3,0.3,3,1251,1159,1297,12375,0,0,0,0,16,13,21,162,1251,1159,1297,12375,1240,1153,1287,12280,24,23,25,238,24,23,25,238,0,0,0,0,667.5,656,680,6682,11,5,95,215,11,5,95,215,295.5,273,322,2963
