candidate_id,row_type,grid_name,a_abs,b_abs,theta_s,theta_d,seeds,num_runs,feasible,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,post_warmup_windowed_p99_ms_sum,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,severe_window_p99_ms_sum,post_warmup_p99_gap_to_tdr_ms_median,post_warmup_p99_gap_to_tdr_ms_min,post_warmup_p99_gap_to_tdr_ms_max,post_warmup_p99_gap_to_tdr_ms_sum,post_warmup_p99_gap_to_tdr_pct_median,post_warmup_p99_gap_to_tdr_pct_min,post_warmup_p99_gap_to_tdr_pct_max,post_warmup_p99_gap_to_tdr_pct_sum,severe_window_p99_gap_to_tdr_ms_median,severe_window_p99_gap_to_tdr_ms_min,severe_window_p99_gap_to_tdr_ms_max,severe_window_p99_gap_to_tdr_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,bandwidth_vs_tdr_ratio_median,bandwidth_vs_tdr_ratio_min,bandwidth_vs_tdr_ratio_max,bandwidth_vs_tdr_ratio_sum,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_eligible_events_sum,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_triggered_events_sum,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,read_bypass_coverage_pct_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,migration_precision_pct_median,migration_precision_pct_min,migration_precision_pct_max,migration_precision_pct_sum,migration_recall_pct_median,migration_recall_pct_min,migration_recall_pct_max,migration_recall_pct_sum,migration_fp_rate_pct_median,migration_fp_rate_pct_min,migration_fp_rate_pct_max,migration_fp_rate_pct_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,post_warmup_gap_reduction_vs_t26_pct_median,post_warmup_gap_reduction_vs_t26_pct_min,post_warmup_gap_reduction_vs_t26_pct_max,post_warmup_gap_reduction_vs_t26_pct_sum
expanded|A=15|B=10|S=0.05|D=16,candidate,expanded,15,10,0.05,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19,19,19.4,190.9,18.8,18.8,19,188.5,-10.2,-10.3,-9.8,-101.1,-34.932,-35.154,-33.677,-346.227,-12.3,-12.5,-12,-122.9,4.85,4.6,5,48.1,0.458,0.438,0.476,4.568,15584,14979,15905,155391,14959,14435,15345,149316,96,95.9,96.5,961,6,6,6,60,6,6,6,60,0,0,0,0,701.5,692,714,7027,100,100,100,1000,0.848,0.833,0.86,8.467,0,0,0,0,41,0,301,673,5306,5174,5547,53146,215.909,211.364,217.045,2148.864
expanded|A=15|B=10|S=0.05|D=12,candidate,expanded,15,10,0.05,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19,18.9,19.4,190.5,18.9,18.8,19,188.8,-10.15,-10.4,-9.9,-101.5,-34.82,-35.495,-33.788,-347.597,-12.3,-12.4,-12,-122.6,4.6,4.6,4.7,46.4,0.438,0.434,0.448,4.407,14997,14822,15077,149538,14372.5,14212,14512,143464,95.85,95.7,96.3,959.4,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,41,0,301,673,5290.5,5177,5363,52792,215.341,212.5,218.182,2153.409
expanded|A=15|B=15|S=0.05|D=8,candidate,expanded,15,15,0.05,8,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.1,19,19.4,191.3,19,18.9,19.2,190.1,-10.1,-10.2,-9.8,-100.7,-34.648,-34.932,-33.677,-344.86,-12.2,-12.3,-11.9,-121.3,4,3.9,4.1,40,0.381,0.371,0.387,3.799,13985,13805,14112,139761,13291.5,13120,13467,132892,95,94.8,95.4,950.8,10,10,10,100,10,9,10,98,0,0,0,0,695.5,687,707,6961,100,100,100,1000,1.405,1.277,1.435,13.882,0,0,0,0,22,0,49,231,4416,4326,4547,44206,214.773,211.364,215.909,2144.318
expanded|A=15|B=15|S=0.05|D=12,candidate,expanded,15,15,0.05,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.1,19,19.5,191.6,19,18.9,19.2,189.9,-10.1,-10.3,-9.8,-100.4,-34.589,-35.154,-33.447,-343.833,-12.2,-12.3,-11.9,-121.5,4.4,4.3,4.6,43.8,0.415,0.41,0.434,4.159,15344.5,15048,15903,153355,14646.5,14352,15188,146538,95.5,95.4,95.9,955.6,6,6,7,61,6,6,7,61,0,0,0,0,701.5,692,712,7017,100,100,100,1000,0.85,0.836,0.975,8.617,0,0,0,0,22,0,49,231,5072,5001,5157,50774,214.773,211.364,217.045,2140.909
expanded|A=15|B=15|S=0.05|D=4,candidate,expanded,15,15,0.05,4,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.15,19,19.4,191.6,19,18.9,19.1,189.9,-10,-10.2,-9.8,-100.4,-34.305,-34.932,-33.677,-343.831,-12.2,-12.3,-12,-121.5,3.4,3.4,3.5,34.4,0.324,0.321,0.333,3.267,12026,11879,12189,120175,11311.5,11183,11535,113263,94.2,94,94.6,942.5,16,16,16,160,15,14,16,151,0,0,0,0,682,673,693,6823,100,100,100,1000,2.158,1.994,2.315,21.65,0,0,0,0,22,0,49,231,3818.5,3756,3908,38265,213.636,211.364,215.909,2140.909
expanded|A=15|B=15|S=0.05|D=6,candidate,expanded,15,15,0.05,6,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.2,19,19.4,191.9,19,18.8,19,189.6,-10,-10.2,-9.8,-100.1,-34.246,-34.932,-33.677,-342.802,-12.2,-12.3,-12,-121.8,3.75,3.7,3.8,37.5,0.355,0.352,0.362,3.561,13194.5,12967,13346,131843,12502,12285,12623,124951,94.7,94.6,95.1,947.7,12,11,12,118,11.5,10,12,112,0,0,0,0,691,682,702,6913,100,100,100,1000,1.634,1.427,1.727,15.937,0,0,0,0,22,0,49,231,4213.5,4071,4398,42139,213.636,211.364,215.909,2137.5
expanded|A=15|B=15|S=0.05|D=16,candidate,expanded,15,15,0.05,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.15,19,19.5,192,19,18.9,19.2,190.2,-10,-10.3,-9.8,-100,-34.364,-35.154,-33.447,-342.463,-12.2,-12.3,-11.8,-121.2,4.5,4.5,4.6,45.4,0.429,0.425,0.438,4.312,15865,15674,16148,158952,15173.5,15036,15444,152115,95.6,95.5,96,956.8,6,6,6,60,6,6,6,60,0,0,0,0,703,694,714,7038,100,100,100,1000,0.846,0.833,0.857,8.454,0,0,0,0,22,0,49,231,5115,4994,5259,51096,213.636,211.364,217.045,2136.364
expanded|A=20|B=10|S=0.05|D=6,candidate,expanded,20,10,0.05,6,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.25,19.1,19.5,192.7,19,18.9,19.2,190,-10,-10.1,-9.7,-99.3,-34.188,-34.589,-33.219,-340.067,-12.15,-12.3,-11.9,-121.4,3.75,3.7,3.9,37.6,0.355,0.349,0.368,3.571,12755,12533,12912,127346,11733,11541,11976,117473,92.2,91.6,93.2,922.5,12,12,12,120,11,10,12,113,0,0,0,0,688,679,699,6888,100,100,100,1000,1.593,1.435,1.717,16.136,0,0,0,0,0,0,0,0,4303.5,4173,4440,43037,213.636,210.227,214.773,2128.409
expanded|A=20|B=10|S=0.05|D=16,candidate,expanded,20,10,0.05,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.3,19,19.5,192.8,18.95,18.9,19.1,189.8,-9.95,-10.1,-9.7,-99.2,-34.017,-34.708,-33.219,-339.728,-12.2,-12.4,-11.9,-121.6,4.6,4.5,4.8,46.2,0.438,0.425,0.457,4.387,15527,15002,15912,155535,14518,14064,15052,145832,93.7,93.3,94.6,937.7,6,6,6,60,6,6,6,60,0,0,0,0,701.5,692,714,7026,100,100,100,1000,0.848,0.833,0.86,8.468,0,0,0,0,0,0,0,0,5288.5,5163,5440,52847,213.068,210.227,214.773,2127.273
expanded|A=20|B=10|S=0.05|D=8,candidate,expanded,20,10,0.05,8,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.2,19.1,19.5,192.9,19,18.9,19.1,189.8,-9.95,-10.1,-9.7,-99.1,-34.134,-34.589,-33.219,-339.381,-12.2,-12.3,-12,-121.6,4,3.9,4.1,39.9,0.379,0.371,0.39,3.789,13526,13275,13651,134881,12501,12293,12710,125076,92.65,92.1,93.5,927.3,10,10,10,100,10,9,10,97,0,0,0,0,693,684,704,6938,100,100,100,1000,1.406,1.284,1.435,13.785,0,0,0,0,0,0,0,0,4546,4469,4677,45462,213.068,210.227,214.773,2126.136
