rank,candidate_id,a_abs,b_abs,theta_s,theta_d,objective_v2_feasible,in_corrected_plateau,post_warmup_gap_ms,severe_gap_ms,bw_ratio_median,coverage_pct,migration_fp_max
1,primary|A=10|B=15|S=0.1|D=12,10,15,0.1,12,1,0,-6.45,-3.5,0.588,92.25,0
2,expanded|A=5|B=5|S=0.01|D=12,5,5,0.01,12,0,0,-12,-13.95,2.324,99.8,67
3,expanded|A=5|B=5|S=0.01|D=16,5,5,0.01,16,0,0,-12,-13.95,2.324,99.8,45
4,expanded|A=5|B=5|S=0.02|D=12,5,5,0.02,12,0,0,-11.95,-13.9,2.305,99.7,67
5,expanded|A=5|B=5|S=0.02|D=16,5,5,0.02,16,0,0,-11.95,-13.9,2.305,99.7,45
6,expanded|A=5|B=5|S=0.03|D=12,5,5,0.03,12,0,0,-11.9,-13.8,2.267,99.5,69
7,expanded|A=5|B=5|S=0.03|D=16,5,5,0.03,16,0,0,-11.9,-13.8,2.267,99.5,45
8,expanded|A=5|B=5|S=0.01|D=32,5,5,0.01,32,0,0,-11.9,-13.8,2.324,99.8,3
9,expanded|A=5|B=5|S=0.03|D=32,5,5,0.03,32,0,0,-11.8,-13.7,2.267,99.6,3
10,expanded|A=5|B=5|S=0.02|D=24,5,5,0.02,24,0,0,-11.8,-13.8,2.305,99.75,33
11,expanded|A=5|B=5|S=0.02|D=32,5,5,0.02,32,0,0,-11.8,-13.7,2.305,99.75,3
12,expanded|A=5|B=5|S=0.01|D=24,5,5,0.01,24,0,0,-11.8,-13.8,2.324,99.8,34
13,expanded|A=5|B=10|S=0.01|D=12,5,10,0.01,12,0,0,-11.7,-13.65,2.152,99.65,5
14,expanded|A=5|B=10|S=0.01|D=16,5,10,0.01,16,0,0,-11.7,-13.65,2.152,99.7,0
15,expanded|A=5|B=5|S=0.03|D=24,5,5,0.03,24,0,0,-11.7,-13.6,2.267,99.6,33
16,expanded|A=5|B=10|S=0.02|D=12,5,10,0.02,12,0,0,-11.6,-13.6,2.076,99.4,6
17,expanded|A=5|B=10|S=0.02|D=16,5,10,0.02,16,0,0,-11.6,-13.6,2.081,99.45,0
18,expanded|A=5|B=10|S=0.01|D=24,5,10,0.01,24,0,0,-11.6,-13.5,2.162,99.7,0
19,expanded|A=5|B=5|S=0.05|D=12,5,5,0.05,12,0,0,-11.6,-13.65,2.171,98.7,68
20,expanded|A=5|B=5|S=0.05|D=16,5,5,0.05,16,0,0,-11.6,-13.7,2.171,98.75,45
21,expanded|A=5|B=10|S=0.01|D=32,5,10,0.01,32,0,0,-11.55,-13.5,2.162,99.7,0
22,expanded|A=5|B=10|S=0.03|D=12,5,10,0.03,12,0,0,-11.5,-13.5,2.01,99.15,5
23,expanded|A=5|B=10|S=0.02|D=24,5,10,0.02,24,0,0,-11.5,-13.5,2.086,99.5,0
24,expanded|A=5|B=10|S=0.02|D=32,5,10,0.02,32,0,0,-11.5,-13.4,2.086,99.5,0
25,expanded|A=5|B=5|S=0.05|D=24,5,5,0.05,24,0,0,-11.5,-13.5,2.171,98.9,36
26,expanded|A=5|B=5|S=0.05|D=32,5,5,0.05,32,0,0,-11.5,-13.5,2.171,98.9,2
27,expanded|A=10|B=5|S=0.02|D=16,10,5,0.02,16,0,0,-11.4,-13.4,1.886,98.5,44
28,expanded|A=10|B=5|S=0.01|D=12,10,5,0.01,12,0,0,-11.4,-13.4,1.905,98.5,67
29,expanded|A=10|B=5|S=0.01|D=16,10,5,0.01,16,0,0,-11.4,-13.4,1.914,98.5,47
30,expanded|A=5|B=20|S=0.01|D=16,5,20,0.01,16,0,0,-11.4,-13.4,1.99,99.4,0
31,expanded|A=5|B=15|S=0.01|D=12,5,15,0.01,12,0,0,-11.4,-13.4,2,99.5,0
32,expanded|A=5|B=15|S=0.01|D=16,5,15,0.01,16,0,0,-11.4,-13.4,2,99.5,0
33,expanded|A=5|B=10|S=0.03|D=16,5,10,0.03,16,0,0,-11.4,-13.45,2.01,99.2,0
34,expanded|A=5|B=15|S=0.01|D=24,5,15,0.01,24,0,0,-11.4,-13.3,2.01,99.6,0
35,expanded|A=5|B=10|S=0.03|D=24,5,10,0.03,24,0,0,-11.4,-13.35,2.019,99.3,0
36,expanded|A=5|B=5|S=0.07|D=12,5,5,0.07,12,0,0,-11.4,-13.5,2.095,97.95,71
37,expanded|A=5|B=5|S=0.07|D=16,5,5,0.07,16,0,0,-11.4,-13.5,2.095,97.95,45
38,primary|A=10|B=5|S=0.03|D=8,10,5,0.03,8,0,0,-11.35,-13.35,1.781,98.15,110
39,primary|A=10|B=5|S=0.03|D=16,10,5,0.03,16,0,0,-11.35,-13.4,1.848,98.4,45
40,expanded|A=5|B=15|S=0.02|D=12,5,15,0.02,12,0,0,-11.35,-13.3,1.924,99.2,0
41,expanded|A=5|B=20|S=0.01|D=12,5,20,0.01,12,0,0,-11.35,-13.4,1.99,99.3,0
42,expanded|A=5|B=10|S=0.03|D=32,5,10,0.03,32,0,0,-11.35,-13.4,2.019,99.3,0
43,primary|A=10|B=5|S=0.03|D=12,10,5,0.03,12,0,0,-11.3,-13.35,1.839,98.4,68
44,expanded|A=10|B=5|S=0.02|D=12,10,5,0.02,12,0,0,-11.3,-13.4,1.871,98.5,68
45,expanded|A=10|B=5|S=0.02|D=32,10,5,0.02,32,0,0,-11.3,-13.3,1.882,98.65,2
46,expanded|A=5|B=10|S=0.05|D=12,5,10,0.05,12,0,0,-11.3,-13.3,1.895,98.4,4
47,expanded|A=10|B=5|S=0.01|D=24,10,5,0.01,24,0,0,-11.3,-13.35,1.914,98.7,34
48,expanded|A=10|B=5|S=0.01|D=32,10,5,0.01,32,0,0,-11.3,-13.35,1.914,98.7,2
49,expanded|A=5|B=20|S=0.02|D=12,5,20,0.02,12,0,0,-11.3,-13.3,1.914,98.9,0
50,expanded|A=5|B=20|S=0.02|D=16,5,20,0.02,16,0,0,-11.3,-13.3,1.914,99,0
51,expanded|A=5|B=15|S=0.02|D=16,5,15,0.02,16,0,0,-11.3,-13.3,1.933,99.2,0
52,expanded|A=5|B=15|S=0.02|D=24,5,15,0.02,24,0,0,-11.3,-13.25,1.938,99.3,0
53,expanded|A=5|B=20|S=0.01|D=24,5,20,0.01,24,0,0,-11.3,-13.3,2,99.45,0
54,expanded|A=5|B=20|S=0.01|D=32,5,20,0.01,32,0,0,-11.3,-13.3,2,99.5,0
55,expanded|A=5|B=15|S=0.01|D=32,5,15,0.01,32,0,0,-11.3,-13.35,2.01,99.6,0
56,expanded|A=5|B=5|S=0.07|D=24,5,5,0.07,24,0,0,-11.3,-13.4,2.095,98.2,34
57,expanded|A=5|B=5|S=0.07|D=32,5,5,0.07,32,0,0,-11.3,-13.4,2.095,98.2,3
58,expanded|A=5|B=15|S=0.03|D=12,5,15,0.03,12,0,0,-11.25,-13.3,1.862,98.9,0
