scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_degradation,42,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,91.0,0.0,503.2,3334.1,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.1,548.1,-1,-1,-1.0
dynamic_degradation,42,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.0,38.4,50.8,500000,25.0,100000,15000,10460,100000,81644,0,-1,-1,-1,-1,2,28874,18.1,18.2,-1,-1,-1.0
dynamic_degradation,42,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,131.7,144.3,442398,10.6,42398,2463,8969,42398,23670,0,-1,-1,-1,2,10,18576,29.3,31.0,-1,-1,-1.0
dynamic_degradation,42,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.5,75.2,21.1,87.8,417055,4.3,17055,0,5168,17055,16652,6,6,0,703,42,42,10149,19.2,19.0,15258,13947,91.4
dynamic_degradation,43,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.8,92.0,0.0,506.2,3332.5,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.7,547.5,-1,-1,-1.0
dynamic_degradation,43,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.2,38.2,50.2,500000,25.0,100000,15000,10461,100000,81387,0,-1,-1,-1,-1,0,28613,18.2,18.2,-1,-1,-1.0
dynamic_degradation,43,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.7,133.7,144.4,441847,10.5,41847,2418,8955,41847,23406,0,-1,-1,-1,0,2,18311,29.3,31.3,-1,-1,-1.0
dynamic_degradation,43,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.3,75.8,20.8,88.0,417148,4.3,17148,0,5165,17148,16727,6,6,0,704,24,24,10044,19.7,18.8,15328,14053,91.7
dynamic_degradation,44,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,90.2,0.0,504.3,3311.4,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.3,543.4,-1,-1,-1.0
dynamic_degradation,44,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,78.7,37.0,50.4,500000,25.0,100000,15000,10544,100000,81563,0,-1,-1,-1,-1,4,28979,18.1,18.3,-1,-1,-1.0
dynamic_degradation,44,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.1,131.2,140.1,442432,10.6,42432,2541,9092,42432,23746,0,-1,-1,-1,4,13,18522,29.0,31.0,-1,-1,-1.0
dynamic_degradation,44,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.4,75.1,21.0,89.3,417077,4.3,17077,0,5309,17077,16648,6,6,0,701,46,46,10224,19.2,18.9,15329,14004,91.4
dynamic_degradation,45,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,91.1,0.0,507.8,3327.1,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.2,547.2,-1,-1,-1.0
dynamic_degradation,45,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.0,36.8,50.5,500000,25.0,100000,15000,10374,100000,81557,0,-1,-1,-1,-1,0,28581,18.1,18.1,-1,-1,-1.0
dynamic_degradation,45,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,133.0,144.4,442013,10.5,42013,2408,8915,42013,23600,0,-1,-1,-1,0,3,18316,29.2,31.1,-1,-1,-1.0
dynamic_degradation,45,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.5,23.8,73.8,25.5,95.3,416949,4.2,16949,0,5091,16949,16576,6,6,0,704,52,52,9937,19.1,18.7,15548,13940,89.7
dynamic_degradation,46,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.1,0.0,504.9,3338.2,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.2,546.2,-1,-1,-1.0
dynamic_degradation,46,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,38.3,51.9,500000,25.0,100000,15000,10435,100000,81410,0,-1,-1,-1,-1,2,28591,18.1,18.1,-1,-1,-1.0
dynamic_degradation,46,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.4,133.8,144.9,441901,10.5,41901,2350,8980,41901,23378,0,-1,-1,-1,2,2,18355,29.4,31.1,-1,-1,-1.0
dynamic_degradation,46,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.7,75.1,23.3,94.9,417242,4.3,17242,0,5178,17242,16841,6,6,0,701,10,10,10092,19.1,18.9,15461,14123,91.3
dynamic_degradation,47,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,64.9,91.1,0.0,503.6,3330.9,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.3,547.6,-1,-1,-1.0
dynamic_degradation,47,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.9,37.5,49.9,500000,25.0,100000,15000,10389,100000,81503,0,-1,-1,-1,-1,0,28698,18.2,18.2,-1,-1,-1.0
dynamic_degradation,47,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.4,29.5,67.6,130.3,140.0,442107,10.5,42107,2460,8922,42107,23409,0,-1,-1,-1,0,0,18439,29.3,31.0,-1,-1,-1.0
dynamic_degradation,47,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.7,75.0,22.2,88.5,417492,4.4,17492,0,5133,17492,17077,6,6,0,710,53,53,10037,19.1,19.0,15756,14402,91.4
dynamic_degradation,48,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.7,0.0,505.9,3332.0,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.2,548.6,-1,-1,-1.0
dynamic_degradation,48,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,79.1,35.8,49.5,500000,25.0,100000,15000,10429,100000,81380,0,-1,-1,-1,-1,3,28691,18.0,18.3,-1,-1,-1.0
dynamic_degradation,48,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,133.4,143.7,442171,10.5,42171,2437,8938,42171,23417,0,-1,-1,-1,3,9,18415,29.2,31.1,-1,-1,-1.0
dynamic_degradation,48,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,23.4,74.5,22.8,94.6,417232,4.3,17232,0,5140,17232,16821,6,6,0,698,13,13,10047,19.2,19.1,15587,14136,90.7
dynamic_degradation,49,100000,500,1.0,20,5000,vanilla_ec,15.0,14.1,65.6,91.4,0.0,507.5,3334.7,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.6,549.2,-1,-1,-1.0
dynamic_degradation,49,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.0,37.9,49.3,500000,25.0,100000,15000,10474,100000,81654,0,-1,-1,-1,-1,0,28637,18.0,18.1,-1,-1,-1.0
dynamic_degradation,49,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.1,26.5,29.7,67.6,132.1,143.7,442498,10.6,42498,2438,9015,42498,23778,0,-1,-1,-1,0,0,18480,29.3,31.2,-1,-1,-1.0
dynamic_degradation,49,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,23.0,74.8,22.7,90.0,417130,4.3,17130,0,5130,17130,16765,6,6,0,710,15,15,10053,19.0,18.8,15498,14068,90.8
dynamic_degradation,50,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.2,0.0,502.6,3328.8,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.5,547.0,-1,-1,-1.0
dynamic_degradation,50,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,37.4,51.2,500000,25.0,100000,15000,10457,100000,81549,0,-1,-1,-1,-1,1,28847,18.1,18.2,-1,-1,-1.0
dynamic_degradation,50,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.5,133.0,144.0,442109,10.5,42109,2473,8991,42109,23483,0,-1,-1,-1,1,2,18486,29.3,31.1,-1,-1,-1.0
