scenario,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,policy,p99_ms_median,p99_ms_min,p99_ms_max
dynamic_stress_100d_20pct_hdd,0,0,50000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,1,50000,100000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,2,100000,150000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,3,150000,200000,80,mild_slow,90,healthy,10,vanilla_ec,39.35,38.8,39.9
dynamic_stress_100d_20pct_hdd,4,200000,250000,80,mild_slow,90,healthy,10,vanilla_ec,39.4,39.2,39.8
dynamic_stress_100d_20pct_hdd,5,250000,300000,80,mild_slow,90,healthy,10,vanilla_ec,39.4,39.1,39.9
dynamic_stress_100d_20pct_hdd,6,300000,350000,80,severe_slow,90,healthy,10,vanilla_ec,98.5,96.6,100.7
dynamic_stress_100d_20pct_hdd,7,350000,400000,80,severe_slow,90,healthy,10,vanilla_ec,99,95.8,103
dynamic_stress_100d_20pct_hdd,8,400000,450000,80,severe_slow,90,healthy,10,vanilla_ec,98.1,96.2,103.5
dynamic_stress_100d_20pct_hdd,9,450000,500000,80,recovery,90,mild_slow,10,vanilla_ec,40,39.6,40.4
dynamic_stress_100d_20pct_hdd,10,500000,550000,80,recovery,90,mild_slow,10,vanilla_ec,40.1,39.5,40.7
dynamic_stress_100d_20pct_hdd,11,550000,600000,80,healthy,90,severe_slow,10,vanilla_ec,99.25,96.1,101.9
dynamic_stress_100d_20pct_hdd,12,600000,650000,80,healthy,90,severe_slow,10,vanilla_ec,99.3,95.3,106.5
dynamic_stress_100d_20pct_hdd,13,650000,700000,80,healthy,90,severe_slow,10,vanilla_ec,98.35,95.7,103.8
dynamic_stress_100d_20pct_hdd,14,700000,750000,80,mild_slow,90,recovery,10,vanilla_ec,40.2,39.3,40.8
dynamic_stress_100d_20pct_hdd,15,750000,800000,80,recovery,90,recovery,0,vanilla_ec,24.6,24.3,24.9
dynamic_stress_100d_20pct_hdd,16,800000,850000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,17,850000,900000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,18,900000,950000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.8,19
dynamic_stress_100d_20pct_hdd,19,950000,1000000,80,healthy,90,healthy,0,vanilla_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,0,0,50000,80,healthy,90,healthy,0,late_binding,15.4,15.4,15.5
dynamic_stress_100d_20pct_hdd,1,50000,100000,80,healthy,90,healthy,0,late_binding,15.5,15.4,15.5
