scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,0,0,50000,80,healthy,90,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,1,50000,100000,80,healthy,90,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,2,100000,150000,80,healthy,90,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,3,150000,200000,80,mild_slow,90,healthy,10,12.8,12.7,12.8,29.8,29.5,30.3,39.35,38.8,39.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,4,200000,250000,80,mild_slow,90,healthy,10,12.8,12.7,12.8,29.9,29.4,30.2,39.4,39.2,39.8,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,5,250000,300000,80,mild_slow,90,healthy,10,12.8,12.7,12.8,29.8,29.5,30.3,39.4,39.1,39.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,6,300000,350000,80,severe_slow,90,healthy,10,12.8,12.7,12.8,69.05,67.7,70,98.5,96.6,100.7,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,7,350000,400000,80,severe_slow,90,healthy,10,12.8,12.8,12.8,69.15,67.9,69.7,99,95.8,103,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,8,400000,450000,80,severe_slow,90,healthy,10,12.8,12.7,12.8,68.85,68.2,69.6,98.1,96.2,103.5,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,9,450000,500000,80,recovery,90,mild_slow,10,13,13,13.1,29.95,29.6,30.4,40,39.6,40.4,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,10,500000,550000,80,recovery,90,mild_slow,10,13,13,13.1,30,29.7,30.3,40.1,39.5,40.7,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
