scenario,seed,num_disks,num_stripes,k,m,shard_size_bytes,migrated_shards,migrated_bytes,full_disk_migrated_disks,full_disk_migrated_shards,full_disk_bytes,cost_ratio,full_disk_cost_multiplier,stripe_level_migrated_stripes,stripe_level_migrated_shards,stripe_level_bytes,stripe_level_cost_ratio,affected_hot_shards,migration_true_positives,migration_false_positives,migration_false_negatives
dynamic_realistic_100d_2pct_hdd,42,100,5000,4,2,4096,4,16384,2,600,2457600,0.006667,150,2,12,49152,0.02,589,4,0,585
dynamic_stress_100d_20pct_hdd,42,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5909,21,0,5888
dynamic_stress_100d_20pct_hdd,43,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5884,21,0,5863
dynamic_stress_100d_20pct_hdd,44,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5847,19,0,5828
dynamic_stress_100d_20pct_hdd,45,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,6052,20,0,6032
dynamic_stress_100d_20pct_hdd,46,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5952,21,0,5931
dynamic_stress_100d_20pct_hdd,47,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5953,20,0,5933
dynamic_stress_100d_20pct_hdd,48,100,5000,4,2,4096,22,90112,20,6000,24576000,0.003667,272.727273,6,36,147456,0.006,5962,21,0,5941
dynamic_stress_100d_20pct_hdd,49,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5946,20,0,5926
dynamic_stress_100d_20pct_hdd,50,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5986,21,0,5965
dynamic_stress_100d_20pct_hdd,51,100,5000,4,2,4096,23,94208,20,6000,24576000,0.003833,260.869565,6,36,147456,0.006,5789,23,0,5766
dynamic_stress_100d_20pct_hdd,52,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5876,20,0,5856
dynamic_stress_100d_20pct_hdd,53,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5831,20,0,5811
dynamic_stress_100d_20pct_hdd,54,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5854,20,0,5834
dynamic_stress_100d_20pct_hdd,55,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5883,21,0,5862
dynamic_stress_100d_20pct_hdd,56,100,5000,4,2,4096,22,90112,20,6000,24576000,0.003667,272.727273,6,36,147456,0.006,5924,22,0,5902
dynamic_stress_100d_20pct_hdd,57,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5862,20,0,5842
dynamic_stress_100d_20pct_hdd,58,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5933,20,0,5913
dynamic_stress_100d_20pct_hdd,59,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5901,21,0,5880
dynamic_stress_100d_20pct_hdd,60,100,5000,4,2,4096,24,98304,20,6000,24576000,0.004,250,6,36,147456,0.006,5647,24,0,5623
dynamic_stress_100d_20pct_hdd,61,100,5000,4,2,4096,23,94208,20,6000,24576000,0.003833,260.869565,6,36,147456,0.006,5825,23,0,5802
dynamic_stress_100d_20pct_hdd,62,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5934,21,0,5913
dynamic_stress_100d_20pct_hdd,63,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5945,21,0,5924
dynamic_stress_100d_20pct_hdd,64,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5793,20,0,5773
dynamic_stress_100d_20pct_hdd,65,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5841,20,0,5821
dynamic_stress_100d_20pct_hdd,66,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5982,21,0,5961
dynamic_stress_100d_20pct_hdd,67,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5766,20,0,5746
dynamic_stress_100d_20pct_hdd,68,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5708,21,0,5687
dynamic_stress_100d_20pct_hdd,69,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5782,21,0,5761
dynamic_stress_100d_20pct_hdd,70,100,5000,4,2,4096,20,81920,20,6000,24576000,0.003333,300,6,36,147456,0.006,5907,20,0,5887
dynamic_stress_100d_20pct_hdd,71,100,5000,4,2,4096,21,86016,20,6000,24576000,0.0035,285.714286,6,36,147456,0.006,5686,21,0,5665
