scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,214033,4,31,188,88,46,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,246191,4,31,187,87,39,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,301726,6,14,84,84,11,1,34,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,303578,6,31,186,86,50,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,304114,6,14,85,85,16,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,304114,6,14,87,87,42,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,305355,6,31,189,89,56,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,305402,6,13,81,81,14,1,10,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,306388,6,13,80,80,54,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,311189,6,14,86,86,34,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,454377,9,16,99,99,40,1,126,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,454427,9,16,97,97,37,1,116,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,454700,9,16,96,96,48,1,111,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,455821,9,16,98,98,27,1,121,mild_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,553959,11,15,91,91,32,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,554508,11,15,92,92,21,1,92,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,554765,11,15,93,93,31,1,97,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,554853,11,15,90,90,29,1,82,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,556082,11,33,198,98,54,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,57,1000000,5000,1.0,health_ec,15.0,557933,11,33,199,99,69,1,127,severe_slow
