name,returncode,stderr_empty,stdout_lines,output_path
dynamic_realistic_100d_2pct_hdd_seed42_migration_trace,0,1,5,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_realistic_100d_2pct_hdd_seed42_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed42_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed42_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed43_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed43_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed44_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed44_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed45_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed45_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed46_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed46_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed47_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed47_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed48_migration_trace,0,1,23,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed48_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed49_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed49_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed50_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed50_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed51_migration_trace,0,1,24,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed51_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed52_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed52_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed53_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed53_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed54_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed54_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed55_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed55_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed56_migration_trace,0,1,23,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed56_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed57_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed57_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed58_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed58_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed59_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed59_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed60_migration_trace,0,1,25,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed60_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed61_migration_trace,0,1,24,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed61_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed62_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed62_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed63_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed63_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed64_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed64_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed65_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed65_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed66_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed66_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed67_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed67_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed68_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed68_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed69_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed69_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed70_migration_trace,0,1,21,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed70_migration_trace.csv
dynamic_stress_100d_20pct_hdd_seed71_migration_trace,0,1,22,/root/workspace/Health-EC-workspace/Health-EC/experiments/results/t3_3_2_migration_cost_artifacts/migration_traces/dynamic_stress_100d_20pct_hdd_seed71_migration_trace.csv
