scenario,num_disks,seed,event_id,disk_id,state,start_window,end_window,start_read,end_read,is_migration_positive,notes
dynamic_overlap_100d_4pct_hdd,100,42,0,96,healthy,0,3,0,150000,0,first_disk_warmup
dynamic_overlap_100d_4pct_hdd,100,42,1,96,mild_slow,3,6,150000,300000,1,first_disk_gradual_degradation
dynamic_overlap_100d_4pct_hdd,100,42,2,96,severe_slow,6,10,300000,500000,1,first_disk_sustained_severe_period
dynamic_overlap_100d_4pct_hdd,100,42,3,96,recovery,10,12,500000,600000,0,first_disk_partial_recovery
dynamic_overlap_100d_4pct_hdd,100,42,4,96,healthy,12,20,600000,1000000,0,first_disk_post_recovery_observation
dynamic_overlap_100d_4pct_hdd,100,42,5,97,healthy,0,5,0,250000,0,second_disk_staggered_warmup
dynamic_overlap_100d_4pct_hdd,100,42,6,97,mild_slow,5,8,250000,400000,1,second_disk_gradual_degradation
dynamic_overlap_100d_4pct_hdd,100,42,7,97,severe_slow,8,12,400000,600000,1,second_disk_sustained_severe_period
dynamic_overlap_100d_4pct_hdd,100,42,8,97,recovery,12,14,600000,700000,0,second_disk_partial_recovery
dynamic_overlap_100d_4pct_hdd,100,42,9,97,healthy,14,20,700000,1000000,0,second_disk_post_recovery_observation
dynamic_overlap_100d_4pct_hdd,100,42,10,98,healthy,0,8,0,400000,0,third_disk_late_warmup
dynamic_overlap_100d_4pct_hdd,100,42,11,98,mild_slow,8,11,400000,550000,1,third_disk_gradual_degradation
dynamic_overlap_100d_4pct_hdd,100,42,12,98,severe_slow,11,15,550000,750000,1,third_disk_sustained_severe_period
dynamic_overlap_100d_4pct_hdd,100,42,13,98,recovery,15,17,750000,850000,0,third_disk_partial_recovery
dynamic_overlap_100d_4pct_hdd,100,42,14,98,healthy,17,20,850000,1000000,0,third_disk_post_recovery_observation
dynamic_overlap_100d_4pct_hdd,100,42,15,99,healthy,0,11,0,550000,0,fourth_disk_latest_warmup
dynamic_overlap_100d_4pct_hdd,100,42,16,99,mild_slow,11,14,550000,700000,1,fourth_disk_gradual_degradation
dynamic_overlap_100d_4pct_hdd,100,42,17,99,severe_slow,14,17,700000,850000,1,fourth_disk_sustained_severe_period
dynamic_overlap_100d_4pct_hdd,100,42,18,99,recovery,17,18,850000,900000,0,fourth_disk_short_recovery
dynamic_overlap_100d_4pct_hdd,100,42,19,99,healthy,18,20,900000,1000000,0,fourth_disk_post_recovery_observation
