scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,0,0,50000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,1,50000,100000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,2,100000,150000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,3,150000,200000,96,mild_slow,99,healthy,1,12.6,12.5,12.6,17.6,17.4,17.7,27.05,26.1,27.6,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,4,200000,250000,96,mild_slow,99,healthy,1,12.6,12.5,12.6,17.6,17.5,17.7,27.1,26.3,27.7,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,5,250000,300000,96,mild_slow,99,healthy,2,12.6,12.6,12.6,17.8,17.7,17.9,31.1,30.6,31.6,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,6,300000,350000,96,severe_slow,99,healthy,2,12.6,12.6,12.6,17.9,17.7,18,62.8,61.5,64.3,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,7,350000,400000,96,severe_slow,99,healthy,2,12.6,12.6,12.6,17.9,17.8,18,62.95,61.3,64.1,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,8,400000,450000,96,severe_slow,99,healthy,3,12.6,12.6,12.7,18.6,18.4,18.8,72.4,70.4,73.3,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,9,450000,500000,96,severe_slow,99,healthy,3,12.6,12.6,12.7,18.6,18.4,18.7,72.45,71,73.8,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,10,500000,550000,96,recovery,99,healthy,2,12.6,12.6,12.6,18.6,18.4,18.8,63.2,61.9,65.3,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,11,550000,600000,96,recovery,99,mild_slow,3,12.6,12.6,12.7,18.9,18.7,19.1,73.75,71.7,74.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,12,600000,650000,96,healthy,99,mild_slow,2,12.6,12.6,12.6,18.1,18,18.2,64.3,62.3,65.5,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,13,650000,700000,96,healthy,99,mild_slow,2,12.6,12.6,12.6,18.1,17.9,18.2,63.85,62.4,65.6,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,14,700000,750000,96,healthy,99,severe_slow,2,12.6,12.6,12.6,17.9,17.8,18.1,72.9,71.5,74.5,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,15,750000,800000,96,healthy,99,severe_slow,1,12.6,12.6,12.6,18,17.8,18.1,63.75,62.1,66.2,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,16,800000,850000,96,healthy,99,severe_slow,1,12.6,12.6,12.6,17.9,17.8,18,63.8,62.6,65.4,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,17,850000,900000,96,healthy,99,recovery,0,12.5,12.5,12.6,17,17,17.1,19.3,19.2,19.5,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,18,900000,950000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.8,19,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,19,950000,1000000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,0,0,50000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39982,39791,40257,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,1,50000,100000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14.1,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39831,40187,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,2,100000,150000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39886,40150,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,3,150000,200000,96,mild_slow,99,healthy,1,10.7,10.7,10.8,14.2,14.1,14.2,15.8,15.7,15.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39777,39656,39912,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,4,200000,250000,96,mild_slow,99,healthy,1,10.7,10.7,10.8,14.2,14.1,14.2,15.8,15.7,15.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39782,39637,39962,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,5,250000,300000,96,mild_slow,99,healthy,2,10.8,10.8,10.8,14.6,14.6,14.7,22.2,21.8,22.7,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39831.5,39602,40017,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,6,300000,350000,96,severe_slow,99,healthy,2,10.8,10.8,10.8,14.7,14.6,14.8,26.65,26.1,27.3,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39774.5,39517,39932,0,0,0,0,0,0,0,0,0
