scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.3,0.0,18.6,562.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.7,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.5,10.2,213.2,5000000,25.0,1000000,150000,10158,1000000,798339,0,-1,-1,-1,-1,12,17374,26.7,27.4,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.4,17.8,217.9,4180871,4.5,180871,24130,8685,180871,22910,0,-1,-1,-1,12,94,10549,28.6,28.7,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.1,61.8,7.7,135.2,4018454,0.5,18454,0,6728,18454,17298,6,6,0,1189,770,770,8281,22.3,25.8,17344,15426,88.9
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.5,0.0,18.0,560.2,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.5,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.8,57.2,10.2,213.0,5000000,25.0,1000000,150000,10134,1000000,798423,0,-1,-1,-1,-1,128,17301,26.4,27.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.4,17.1,217.6,4181506,4.5,181506,24335,8784,181506,22985,0,-1,-1,-1,128,128,10646,28.2,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.4,61.5,7.2,138.3,4018444,0.5,18444,0,6868,18444,17266,6,6,0,1220,770,770,8561,22.9,25.5,17455,15322,87.8
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.0,0.0,18.4,559.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.2,65.2,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.8,56.8,9.9,212.6,5000000,25.0,1000000,150000,10211,1000000,798472,0,-1,-1,-1,-1,56,17397,26.6,27.6,-1,-1,-1.0
