case_id,sensitivity_axis,sensitivity_value,slowdown_scale,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,31.2,0.0,12.7,322.2,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,27.5,63.8,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.1,15.8,49.4,3.0,6.8,5000000,25.0,1000000,150000,5962,1000000,799930,0,-1,-1,-1,-1,12,16404,15.8,15.8,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.3,22.3,28.5,11.9,67.3,4176422,4.4,176422,24130,5095,176422,17044,0,-1,-1,-1,12,94,10559,23.2,25.4,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.6,4013126,0.3,13126,0,3908,13126,12804,4,4,0,585,770,1294,7628,18.9,18.9,12047,10734,89.1
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,31.0,0.0,11.8,320.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,27.6,63.1,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.1,15.8,49.2,2.7,7.1,5000000,25.0,1000000,150000,6037,1000000,799829,0,-1,-1,-1,-1,96,16492,15.7,15.8,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.3,22.3,28.1,11.0,67.4,4176829,4.4,176829,24335,5185,176829,16913,0,-1,-1,-1,96,117,10551,23.2,25.4,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,43,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.8,0.9,4.4,4013208,0.3,13208,0,3902,13208,12904,4,4,0,580,634,634,7722,18.9,18.8,12038,10733,89.2
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.5,17.4,31.3,0.0,12.5,323.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,27.4,64.1,-1,-1,-1.0
slow_ratio_2pct,slow_ratio,2pct,1,dynamic_sensitivity_100d_2pct_hdd,100,44,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.1,15.8,49.6,2.6,7.0,5000000,25.0,1000000,150000,5963,1000000,799767,0,-1,-1,-1,-1,43,16522,15.8,15.8,-1,-1,-1.0
