name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_2pct_seed42_aggregate_csv_extended,slow_ratio_2pct,42,aggregate_extended,0,1,5,1,
slow_ratio_2pct_seed42_windowed_csv,slow_ratio_2pct,42,windowed,0,1,81,1,
slow_ratio_2pct_seed43_aggregate_csv_extended,slow_ratio_2pct,43,aggregate_extended,0,1,5,1,
slow_ratio_2pct_seed43_windowed_csv,slow_ratio_2pct,43,windowed,0,1,81,1,
slow_ratio_2pct_seed44_aggregate_csv_extended,slow_ratio_2pct,44,aggregate_extended,0,1,5,1,
slow_ratio_2pct_seed44_windowed_csv,slow_ratio_2pct,44,windowed,0,1,81,1,
slow_ratio_2pct_seed42_event_trace,slow_ratio_2pct,42,event_trace,0,1,14,1,
slow_ratio_4pct_base_seed42_aggregate_csv_extended,slow_ratio_4pct_base,42,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed42_windowed_csv,slow_ratio_4pct_base,42,windowed,0,1,81,1,
slow_ratio_4pct_base_seed43_aggregate_csv_extended,slow_ratio_4pct_base,43,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed43_windowed_csv,slow_ratio_4pct_base,43,windowed,0,1,81,1,
slow_ratio_4pct_base_seed44_aggregate_csv_extended,slow_ratio_4pct_base,44,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed44_windowed_csv,slow_ratio_4pct_base,44,windowed,0,1,81,1,
slow_ratio_4pct_base_seed42_event_trace,slow_ratio_4pct_base,42,event_trace,0,1,27,1,
slow_ratio_10pct_seed42_aggregate_csv_extended,slow_ratio_10pct,42,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed42_windowed_csv,slow_ratio_10pct,42,windowed,0,1,81,1,
slow_ratio_10pct_seed43_aggregate_csv_extended,slow_ratio_10pct,43,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed43_windowed_csv,slow_ratio_10pct,43,windowed,0,1,81,1,
slow_ratio_10pct_seed44_aggregate_csv_extended,slow_ratio_10pct,44,aggregate_extended,0,1,5,1,
slow_ratio_10pct_seed44_windowed_csv,slow_ratio_10pct,44,windowed,0,1,81,1,
slow_ratio_10pct_seed42_event_trace,slow_ratio_10pct,42,event_trace,0,1,66,1,
slow_ratio_20pct_seed42_aggregate_csv_extended,slow_ratio_20pct,42,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed42_windowed_csv,slow_ratio_20pct,42,windowed,0,1,81,1,
slow_ratio_20pct_seed43_aggregate_csv_extended,slow_ratio_20pct,43,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed43_windowed_csv,slow_ratio_20pct,43,windowed,0,1,81,1,
slow_ratio_20pct_seed44_aggregate_csv_extended,slow_ratio_20pct,44,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed44_windowed_csv,slow_ratio_20pct,44,windowed,0,1,81,1,
slow_ratio_20pct_seed42_event_trace,slow_ratio_20pct,42,event_trace,0,1,131,1,
zipf_0_8_seed42_aggregate_csv_extended,zipf_0_8,42,aggregate_extended,0,1,5,1,
zipf_0_8_seed42_windowed_csv,zipf_0_8,42,windowed,0,1,81,1,
zipf_0_8_seed43_aggregate_csv_extended,zipf_0_8,43,aggregate_extended,0,1,5,1,
zipf_0_8_seed43_windowed_csv,zipf_0_8,43,windowed,0,1,81,1,
zipf_0_8_seed44_aggregate_csv_extended,zipf_0_8,44,aggregate_extended,0,1,5,1,
zipf_0_8_seed44_windowed_csv,zipf_0_8,44,windowed,0,1,81,1,
zipf_0_8_seed42_event_trace,zipf_0_8,42,event_trace,0,1,27,1,
zipf_1_2_seed42_aggregate_csv_extended,zipf_1_2,42,aggregate_extended,0,1,5,1,
zipf_1_2_seed42_windowed_csv,zipf_1_2,42,windowed,0,1,81,1,
zipf_1_2_seed43_aggregate_csv_extended,zipf_1_2,43,aggregate_extended,0,1,5,1,
zipf_1_2_seed43_windowed_csv,zipf_1_2,43,windowed,0,1,81,1,
zipf_1_2_seed44_aggregate_csv_extended,zipf_1_2,44,aggregate_extended,0,1,5,1,
zipf_1_2_seed44_windowed_csv,zipf_1_2,44,windowed,0,1,81,1,
zipf_1_2_seed42_event_trace,zipf_1_2,42,event_trace,0,1,27,1,
slowdown_0_5_seed42_aggregate_csv_extended,slowdown_0_5,42,aggregate_extended,0,1,5,1,
slowdown_0_5_seed42_windowed_csv,slowdown_0_5,42,windowed,0,1,81,1,
slowdown_0_5_seed43_aggregate_csv_extended,slowdown_0_5,43,aggregate_extended,0,1,5,1,
slowdown_0_5_seed43_windowed_csv,slowdown_0_5,43,windowed,0,1,81,1,
slowdown_0_5_seed44_aggregate_csv_extended,slowdown_0_5,44,aggregate_extended,0,1,5,1,
slowdown_0_5_seed44_windowed_csv,slowdown_0_5,44,windowed,0,1,81,1,
slowdown_0_5_seed42_event_trace,slowdown_0_5,42,event_trace,0,1,27,1,
slowdown_1_5_seed42_aggregate_csv_extended,slowdown_1_5,42,aggregate_extended,0,1,5,1,
slowdown_1_5_seed42_windowed_csv,slowdown_1_5,42,windowed,0,1,81,1,
slowdown_1_5_seed43_aggregate_csv_extended,slowdown_1_5,43,aggregate_extended,0,1,5,1,
slowdown_1_5_seed43_windowed_csv,slowdown_1_5,43,windowed,0,1,81,1,
slowdown_1_5_seed44_aggregate_csv_extended,slowdown_1_5,44,aggregate_extended,0,1,5,1,
slowdown_1_5_seed44_windowed_csv,slowdown_1_5,44,windowed,0,1,81,1,
slowdown_1_5_seed42_event_trace,slowdown_1_5,42,event_trace,0,1,27,1,
static_canonical_csv,,42,static_csv,0,1,5,1,
negative_dynamic_bad_num_reads,,,negative,1,0,0,0,divisible by 20
negative_invalid_slowdown_zero,,,negative,1,0,0,0,must be positive
negative_invalid_slowdown_nan,,,negative,1,0,0,0,must be a number
negative_invalid_scenario,,,negative,1,0,0,0,invalid --scenario
