case_id,sensitivity_axis,sensitivity_value,policy,p99_ms_median,post_warmup_windowed_p99_ms_median,severe_window_p99_ms_median,bandwidth_overhead_pct_median,read_bypass_coverage_pct_median
slow_ratio_2pct,slow_ratio,2pct,vanilla_ec,30.9,27.65,63.6,0,-1
slow_ratio_2pct,slow_ratio,2pct,late_binding,15.8,15.8,15.8,25,-1
slow_ratio_2pct,slow_ratio,2pct,timeout_degraded_read,22.3,23.2,25.3,4.4,-1
slow_ratio_2pct,slow_ratio,2pct,health_ec,19,18.9,18.9,0.3,88.95
slow_ratio_4pct_base,slow_ratio,4pct,vanilla_ec,35.55,31.4,72.5,0,-1
slow_ratio_4pct_base,slow_ratio,4pct,late_binding,24.55,22.7,51.65,25,-1
slow_ratio_4pct_base,slow_ratio,4pct,timeout_degraded_read,27,25.8,51.65,4.5,-1
slow_ratio_4pct_base,slow_ratio,4pct,health_ec,22.15,23.9,47.45,0.3,79
slow_ratio_10pct,slow_ratio,10pct,vanilla_ec,65.3,36.2,84.95,0,-1
slow_ratio_10pct,slow_ratio,10pct,late_binding,49.9,29.6,68.05,25,-1
slow_ratio_10pct,slow_ratio,10pct,timeout_degraded_read,52.25,32.7,70.75,4.8,-1
slow_ratio_10pct,slow_ratio,10pct,health_ec,41.9,31.1,66,0.7,75.6
slow_ratio_20pct,slow_ratio,20pct,vanilla_ec,78.5,39.8,98.65,0,-1
slow_ratio_20pct,slow_ratio,20pct,late_binding,64.1,32.6,75.6,25,-1
slow_ratio_20pct,slow_ratio,20pct,timeout_degraded_read,67,36.1,79,5.4,-1
slow_ratio_20pct,slow_ratio,20pct,health_ec,62.8,36,75.7,1.1,72.15
zipf_0_8,zipf,0.8,vanilla_ec,45.65,32.5,75.45,0,-1
zipf_0_8,zipf,0.8,late_binding,28.7,23.6,54.15,25,-1
zipf_0_8,zipf,0.8,timeout_degraded_read,29.75,26.3,54.15,4.6,-1
zipf_0_8,zipf,0.8,health_ec,28.3,26.25,52.2,0.5,80.9
zipf_1_2,zipf,1.2,vanilla_ec,27.1,29,67,0,-1
zipf_1_2,zipf,1.2,late_binding,19,20.75,46.75,25,-1
zipf_1_2,zipf,1.2,timeout_degraded_read,23.3,24.5,46.75,4.3,-1
zipf_1_2,zipf,1.2,health_ec,20,21.1,33.85,0.2,73.55
slowdown_0_5,slowdown_scale,0.5,vanilla_ec,24,21.9,41.9,0,-1
slowdown_0_5,slowdown_scale,0.5,late_binding,17.5,17,29.8,25,-1
slowdown_0_5,slowdown_scale,0.5,timeout_degraded_read,22.1,21.2,30.25,4.4,-1
slowdown_0_5,slowdown_scale,0.5,health_ec,20.2,20.3,28.6,0.3,64.05
slowdown_1_5,slowdown_scale,1.5,vanilla_ec,47.1,41.1,103.8,0,-1
slowdown_1_5,slowdown_scale,1.5,late_binding,32.65,29.7,73.8,25,-1
slowdown_1_5,slowdown_scale,1.5,timeout_degraded_read,33,30.3,73.8,4.5,-1
slowdown_1_5,slowdown_scale,1.5,health_ec,26,29.1,67.2,0.4,88.4
