case_id,sensitivity_axis,sensitivity_value,scenario,zipf_s,slowdown_scale,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
slow_ratio_2pct,slow_ratio,2pct,dynamic_sensitivity_100d_2pct_hdd,1,1,vanilla_ec,42..71,30,15,12.55,12.5,12.6,17.3,17.3,17.4,30.9,30.3,31.6,0,0,0,12,11.5,12.7,322.3,317.8,326.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,27.65,27.2,28.1,63.6,63,64.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_2pct,slow_ratio,2pct,dynamic_sensitivity_100d_2pct_hdd,1,1,late_binding,42..71,30,15,10.7,10.7,10.7,14.1,14.1,14.1,15.8,15.7,15.8,49,48,50.1,2.75,2.4,3.1,6.8,6,7.3,25,25,25,1000000,1000000,1000000,150000,150000,150000,5973.5,5847,6147,1000000,1000000,1000000,799965,798980,800717,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.5,0,223,16403.5,16072,16717,15.8,15.7,15.8,15.8,15.7,15.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_2pct,slow_ratio,2pct,dynamic_sensitivity_100d_2pct_hdd,1,1,timeout_degraded_read,42..71,30,15,12.55,12.5,12.6,17.3,17.3,17.3,22.3,22.1,22.4,27.95,26.7,29.2,11.2,10.6,11.9,66.95,65.2,68.1,4.4,4.4,4.4,176836.5,176235,177513,24287.5,24012,24873,5132,5008,5283,176836.5,176235,177513,16959.5,16805,17325,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.5,0,223,43,0,412,10525.5,10304,10711,23.2,23,23.4,25.3,25.2,25.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_2pct,slow_ratio,2pct,dynamic_sensitivity_100d_2pct_hdd,1,1,health_ec,42..71,30,15,12.5,12.5,12.5,16.9,16.9,16.9,19,19,19,38.5,37.4,39.9,1.1,0.8,1.5,4.5,3.4,5.4,0.3,0.3,0.3,13208,12719,13483,0,0,0,3887,3799,3999,13208,12719,13483,12871,12399,13145,4,4,4,4,4,4,0,0,0,584.5,571,600,658,137,2668,711.5,137,2668,7707.5,7550,7958,18.9,18.8,19,18.9,18.8,18.9,12045.5,11598,12250,10733.5,10250,11007,88.95,88.2,90,120,0,17551,100,0.679
slow_ratio_4pct_base,slow_ratio,4pct,dynamic_sensitivity_100d_4pct_hdd,1,1,vanilla_ec,42..71,30,15,12.6,12.5,12.6,17.4,17.4,17.4,35.55,34.9,36.4,0,0,0,14,13.2,14.6,399,392.7,401.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,31.4,31,31.7,72.5,71.6,73.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_4pct_base,slow_ratio,4pct,dynamic_sensitivity_100d_4pct_hdd,1,1,late_binding,42..71,30,15,10.8,10.8,10.8,14.4,14.4,14.5,24.55,24.1,25,30.9,30.2,31.9,10.2,9.8,10.7,261.55,257.4,264,25,25,25,1000000,1000000,1000000,150000,150000,150000,6382.5,6214,6633,1000000,1000000,1000000,797463,796471,798197,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.5,1,223,18876.5,18429,19107,22.7,22.3,22.9,51.65,51.2,52.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_4pct_base,slow_ratio,4pct,dynamic_sensitivity_100d_4pct_hdd,1,1,timeout_degraded_read,42..71,30,15,12.6,12.5,12.6,17.4,17.4,17.4,27,26.7,27.2,24.1,23.4,25.3,13.5,12.6,14.2,241.4,237.7,243.9,4.5,4.4,4.5,178532.5,177894,179122,24287.5,24012,24873,5219,5076,5422,178532.5,177894,179122,18909.5,18573,19305,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.5,1,223,51,1,223,9366.5,9174,9554,25.8,25.5,25.9,51.65,51.2,52.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_4pct_base,slow_ratio,4pct,dynamic_sensitivity_100d_4pct_hdd,1,1,health_ec,42..71,30,15,12.5,12.5,12.5,17.2,17.2,17.2,22.15,21.8,22.4,37.6,36.8,38.9,7.9,7.3,8.5,203.7,197.9,208.1,0.3,0.3,0.4,13708,13335,14114,0,0,0,3781.5,3502,4019,13708,13335,14114,12596.5,12224,12898,6,6,6,6,5,6,0,0,0,1169.5,1133,1206,1394,101,5214,1394,101,5214,6491,6251,6672,23.9,23.1,24.7,47.45,46.4,48.3,12926.5,12651,13176,10192.5,9928,10531,79,77.4,80.8,179,0,35086,100,0.508
slow_ratio_10pct,slow_ratio,10pct,dynamic_sensitivity_100d_10pct_hdd,1,1,vanilla_ec,42..71,30,15,12.6,12.6,12.6,18.3,18.3,18.3,65.3,64.8,65.9,0,0,0,177.1,155.5,195.6,505.4,501.2,510.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,36.2,36,36.4,84.95,84,85.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_10pct,slow_ratio,10pct,dynamic_sensitivity_100d_10pct_hdd,1,1,late_binding,42..71,30,15,10.8,10.8,10.8,15,15,15,49.9,49.5,50.8,23.5,22.9,23.9,72.25,61.2,83.2,403.5,401.6,406.3,25,25,25,1000000,1000000,1000000,150000,150000,150000,12176.5,11886,12543,1000000,1000000,1000000,797581,796556,798246,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,0,79,36776,36380,37396,29.6,29.4,29.9,68.05,67.5,68.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
