scenario,num_disks,seed,event_id,disk_id,state,start_window,end_window,start_read,end_read,is_migration_positive,notes
dynamic_sensitivity_100d_10pct_hdd,100,42,0,90,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,1,90,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_sensitivity_100d_10pct_hdd,100,42,2,90,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,3,90,recovery,9,11,450000,550000,0,partial_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,4,90,healthy,11,14,550000,700000,0,recovered_interval
dynamic_sensitivity_100d_10pct_hdd,100,42,5,90,mild_slow,14,15,700000,750000,1,relapse
dynamic_sensitivity_100d_10pct_hdd,100,42,6,90,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,7,90,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_sensitivity_100d_10pct_hdd,100,42,8,91,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,9,91,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_sensitivity_100d_10pct_hdd,100,42,10,91,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,11,91,recovery,9,11,450000,550000,0,partial_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,12,91,healthy,11,14,550000,700000,0,recovered_interval
dynamic_sensitivity_100d_10pct_hdd,100,42,13,91,mild_slow,14,15,700000,750000,1,relapse
dynamic_sensitivity_100d_10pct_hdd,100,42,14,91,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,15,91,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_sensitivity_100d_10pct_hdd,100,42,16,92,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,17,92,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_sensitivity_100d_10pct_hdd,100,42,18,92,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,19,92,recovery,9,11,450000,550000,0,partial_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,20,92,healthy,11,14,550000,700000,0,recovered_interval
dynamic_sensitivity_100d_10pct_hdd,100,42,21,92,mild_slow,14,15,700000,750000,1,relapse
dynamic_sensitivity_100d_10pct_hdd,100,42,22,92,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,23,92,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_sensitivity_100d_10pct_hdd,100,42,24,93,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,25,93,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_sensitivity_100d_10pct_hdd,100,42,26,93,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,27,93,recovery,9,11,450000,550000,0,partial_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,28,93,healthy,11,14,550000,700000,0,recovered_interval
dynamic_sensitivity_100d_10pct_hdd,100,42,29,93,mild_slow,14,15,700000,750000,1,relapse
dynamic_sensitivity_100d_10pct_hdd,100,42,30,93,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_sensitivity_100d_10pct_hdd,100,42,31,93,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_sensitivity_100d_10pct_hdd,100,42,32,94,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_sensitivity_100d_10pct_hdd,100,42,33,94,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_sensitivity_100d_10pct_hdd,100,42,34,94,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_sensitivity_100d_10pct_hdd,100,42,35,94,recovery,9,11,450000,550000,0,partial_recovery
