scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,31.2,0.0,12.7,322.2,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,27.5,63.8,-1,-1,-1.0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.1,15.8,49.4,3.0,6.8,5000000,25.0,1000000,150000,5962,1000000,799930,0,-1,-1,-1,-1,12,16404,15.8,15.8,-1,-1,-1.0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.3,22.3,28.5,11.9,67.3,4176422,4.4,176422,24130,5095,176422,17044,0,-1,-1,-1,12,94,10559,23.2,25.4,-1,-1,-1.0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.6,4013126,0.3,13126,0,3908,13126,12804,4,4,0,585,770,1294,7628,18.9,18.9,12047,10734,89.1
realistic_2pct,migration_disabled,disabled,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,38.9,1.6,5.2,4018416,0.5,18416,0,5579,18416,18038,0,0,0,593,770,1294,10858,18.9,18.9,16735,15430,92.2
realistic_2pct,threshold_d2_a005,threshold_alpha,2,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.1,1.3,4.5,4008869,0.2,8869,0,2620,8869,8604,20,20,0,550,770,1294,5304,18.9,18.9,8352,6982,83.6
realistic_2pct,threshold_d4_a005,threshold_alpha,4,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4010237,0.3,10237,0,3051,10237,9958,12,12,0,568,770,1294,6060,18.9,18.9,9549,8207,85.9
realistic_2pct,threshold_d6_a005,threshold_alpha,6,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4011123,0.3,11123,0,3350,11123,10833,8,8,0,576,770,1294,6619,18.9,18.9,10318,8991,87.1
realistic_2pct,threshold_d8_a005,threshold_alpha,8,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.6,4011833,0.3,11833,0,3603,11833,11531,6,6,0,580,770,1294,7059,18.9,18.9,10910,9591,87.9
realistic_2pct,threshold_d2_a010,threshold_alpha,2,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4008421,0.2,8421,0,2551,8421,8160,23,22,1,544,770,1294,5186,18.9,18.9,7994,6591,82.4
realistic_2pct,threshold_d4_a010,threshold_alpha,4,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4009994,0.2,9994,0,3051,9994,9716,12,12,0,567,770,1294,6060,18.9,18.9,9325,7961,85.4
realistic_2pct,threshold_d6_a010,threshold_alpha,6,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4010985,0.3,10985,0,3350,10985,10701,8,8,0,575,770,1294,6619,18.9,18.9,10188,8862,87.0
realistic_2pct,threshold_d8_a010,threshold_alpha,8,0.1,0,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.6,4011757,0.3,11757,0,3603,11757,11456,6,6,0,580,770,1294,7059,18.9,18.9,10827,9508,87.8
realistic_2pct,evidence_w2_d4,window_evidence,4,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.1,1.4,4.5,4011150,0.3,11150,0,3051,11150,10850,12,11,0,568,770,1294,6060,18.9,18.9,10397,9056,87.1
realistic_2pct,evidence_w2_d6,window_evidence,6,0.1,2,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4011926,0.3,11926,0,3350,11926,11619,8,8,0,575,770,1294,6619,18.9,18.9,11075,9748,88.0
realistic_2pct,evidence_w3_d4,window_evidence,4,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.1,1.3,4.4,4012310,0.3,12310,0,3051,12310,11979,12,8,0,571,770,1294,6059,18.9,18.9,11423,10080,88.2
realistic_2pct,evidence_w3_d6,window_evidence,6,0.1,3,0,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4013008,0.3,13008,0,3350,13008,12675,8,6,0,578,770,1294,6618,18.9,18.9,12034,10707,89.0
realistic_2pct,topk_k2_d4,topk_budgeted,4,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.1,1.4,4.5,4011565,0.3,11565,0,3051,11565,11258,12,11,0,569,770,1294,6060,18.9,18.9,10789,9446,87.6
realistic_2pct,topk_k2_d6,topk_budgeted,6,0.1,0,2,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4012082,0.3,12082,0,3350,12082,11772,8,7,0,576,770,1294,6619,18.9,18.9,11223,9896,88.2
realistic_2pct,topk_k4_d4,topk_budgeted,4,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.1,1.4,4.5,4011168,0.3,11168,0,3051,11168,10869,12,12,0,567,770,1294,6060,18.9,18.9,10422,9081,87.1
realistic_2pct,topk_k4_d6,topk_budgeted,6,0.1,0,4,0,dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,16.9,19.0,39.0,1.4,4.5,4012000,0.3,12000,0,3350,12000,11693,8,7,0,576,770,1294,6619,18.9,18.9,11146,9820,88.1
