scenario,num_disks,seed,event_id,disk_id,state,start_window,end_window,start_read,end_read,is_migration_positive,notes
dynamic_stress_100d_20pct_hdd,100,42,0,80,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_stress_100d_20pct_hdd,100,42,1,80,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_stress_100d_20pct_hdd,100,42,2,80,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_stress_100d_20pct_hdd,100,42,3,80,recovery,9,11,450000,550000,0,partial_recovery
dynamic_stress_100d_20pct_hdd,100,42,4,80,healthy,11,14,550000,700000,0,recovered_interval
dynamic_stress_100d_20pct_hdd,100,42,5,80,mild_slow,14,15,700000,750000,1,relapse
dynamic_stress_100d_20pct_hdd,100,42,6,80,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_stress_100d_20pct_hdd,100,42,7,80,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_stress_100d_20pct_hdd,100,42,8,81,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_stress_100d_20pct_hdd,100,42,9,81,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_stress_100d_20pct_hdd,100,42,10,81,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_stress_100d_20pct_hdd,100,42,11,81,recovery,9,11,450000,550000,0,partial_recovery
dynamic_stress_100d_20pct_hdd,100,42,12,81,healthy,11,14,550000,700000,0,recovered_interval
dynamic_stress_100d_20pct_hdd,100,42,13,81,mild_slow,14,15,700000,750000,1,relapse
dynamic_stress_100d_20pct_hdd,100,42,14,81,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_stress_100d_20pct_hdd,100,42,15,81,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_stress_100d_20pct_hdd,100,42,16,82,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_stress_100d_20pct_hdd,100,42,17,82,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_stress_100d_20pct_hdd,100,42,18,82,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_stress_100d_20pct_hdd,100,42,19,82,recovery,9,11,450000,550000,0,partial_recovery
dynamic_stress_100d_20pct_hdd,100,42,20,82,healthy,11,14,550000,700000,0,recovered_interval
dynamic_stress_100d_20pct_hdd,100,42,21,82,mild_slow,14,15,700000,750000,1,relapse
dynamic_stress_100d_20pct_hdd,100,42,22,82,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_stress_100d_20pct_hdd,100,42,23,82,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_stress_100d_20pct_hdd,100,42,24,83,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_stress_100d_20pct_hdd,100,42,25,83,mild_slow,3,6,150000,300000,1,first_gradual_degradation
dynamic_stress_100d_20pct_hdd,100,42,26,83,severe_slow,6,9,300000,450000,1,sustained_severe_period
dynamic_stress_100d_20pct_hdd,100,42,27,83,recovery,9,11,450000,550000,0,partial_recovery
dynamic_stress_100d_20pct_hdd,100,42,28,83,healthy,11,14,550000,700000,0,recovered_interval
dynamic_stress_100d_20pct_hdd,100,42,29,83,mild_slow,14,15,700000,750000,1,relapse
dynamic_stress_100d_20pct_hdd,100,42,30,83,recovery,15,16,750000,800000,0,relapse_recovery
dynamic_stress_100d_20pct_hdd,100,42,31,83,healthy,16,20,800000,1000000,0,post_recovery_observation
dynamic_stress_100d_20pct_hdd,100,42,32,84,healthy,0,3,0,150000,0,warmup_before_first_onset
dynamic_stress_100d_20pct_hdd,100,42,33,84,mild_slow,3,6,150000,300000,1,first_gradual_degradation
