scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,152589,3,16,96,96,42,1,1,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,168918,3,66,396,96,93,1,1,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,189137,3,49,296,96,88,1,1,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,255045,5,16,97,97,17,1,6,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,275759,5,49,297,97,0,1,6,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,303461,6,66,397,97,9,1,6,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,401962,8,16,98,98,7,1,11,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,404863,8,33,198,98,23,1,11,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,525230,10,66,398,98,68,1,11,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,554792,11,16,99,99,28,1,16,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,558774,11,33,199,99,47,1,16,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,570965,11,83,498,98,55,1,12,severe_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,585768,11,66,399,99,85,1,16,mild_slow
dynamic_overlap_100d_4pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,716018,14,83,499,99,46,1,17,severe_slow
