scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,151768,3,16,98,98,8,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,151986,3,33,198,98,20,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,164721,3,66,398,98,34,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,170469,3,83,498,98,40,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,190707,3,116,698,98,44,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,211791,4,133,798,98,15,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,306352,6,166,998,98,63,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,312054,6,183,1098,98,9,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,361015,7,216,1298,98,73,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,369654,7,233,1398,98,96,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,452694,9,16,99,99,76,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,458313,9,33,199,99,17,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,460331,9,66,399,99,93,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,477041,9,83,499,99,84,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,500852,10,116,699,99,67,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,513209,10,166,999,99,67,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,535274,10,133,799,99,59,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,562711,11,183,1099,99,23,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,594367,11,233,1399,99,78,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,598574,11,216,1299,99,82,1,10,severe_slow
