scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,200129,4,16,98,98,48,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,200669,4,33,198,98,65,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,202334,4,83,498,98,50,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,207264,4,66,398,98,66,1,1,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,315471,6,116,698,98,25,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,382488,7,133,798,98,89,1,2,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,500210,10,16,99,99,57,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,501453,10,33,199,99,48,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,501494,10,66,399,99,48,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,502938,10,83,499,99,13,1,9,mild_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,574556,11,116,699,99,20,1,10,severe_slow
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,598045,11,133,799,99,67,1,10,severe_slow
