scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,250000,5,13,81,81,20,1,9,mild_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,250000,5,31,186,86,20,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,250000,5,13,80,80,9,1,1,mild_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,250000,5,31,188,88,9,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,300000,6,31,187,87,28,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,300000,6,14,84,84,28,1,34,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,300000,6,31,189,89,64,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,300000,6,14,86,86,64,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,350000,7,14,87,87,52,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,350000,7,14,85,85,72,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,350000,7,48,288,88,52,1,66,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,350000,7,48,289,89,72,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,400000,8,30,182,82,91,1,18,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,400000,8,30,181,81,90,1,10,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,400000,8,30,183,83,26,1,26,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,400000,8,30,180,80,28,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,450000,9,81,487,87,30,0,59,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,450000,9,81,489,89,76,0,75,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,450000,9,81,488,88,38,0,67,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,450000,9,81,486,86,94,0,51,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,500000,10,98,589,89,30,0,75,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,500000,10,98,588,88,38,0,67,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,550000,11,16,99,99,40,1,127,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,550000,11,16,98,98,41,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,550000,11,16,96,96,39,1,112,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,550000,11,16,97,97,28,1,117,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,600000,12,15,90,90,23,1,82,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,600000,12,15,91,91,11,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,600000,12,15,92,92,88,1,92,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,600000,12,15,93,93,31,1,97,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,650000,13,30,182,91,34,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,650000,13,30,181,90,17,1,82,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,650000,13,33,198,98,34,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,650000,13,33,199,99,17,1,127,severe_slow
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,700000,14,32,194,94,79,0,103,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,700000,14,32,192,92,48,0,93,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,700000,14,32,195,95,17,0,108,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,700000,14,32,193,93,52,0,98,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,750000,15,66,396,96,38,0,113,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,750000,15,66,397,97,16,0,118,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,750000,15,66,399,99,19,0,128,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,750000,15,66,398,98,11,0,123,recovery
dynamic_stress_100d_20pct_hdd,100,42,1000000,5000,1.0,health_ec,15.0,800000,16,15,92,88,64,0,71,healthy
