scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,200000,4,14,84,84,5,1,33,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,200000,4,13,81,81,5,1,9,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,31,188,88,67,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,250000,5,31,187,87,49,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,300000,6,14,86,86,44,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,300000,6,13,80,80,44,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,14,87,87,63,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,350000,7,14,85,85,16,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,400000,8,31,189,89,23,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,400000,8,31,186,86,95,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,450000,9,48,288,88,99,0,67,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,450000,9,48,289,89,44,0,75,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,16,99,99,5,1,126,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,500000,10,16,96,96,10,1,111,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,16,98,98,42,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,550000,11,16,97,97,59,1,117,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,600000,12,15,92,92,6,1,92,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,600000,12,15,91,91,32,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,650000,13,15,93,93,72,1,97,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,650000,13,15,90,90,5,1,82,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,700000,14,33,198,98,46,0,123,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,700000,14,33,199,99,48,0,128,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,750000,15,30,183,83,71,0,30,recovery
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,750000,15,66,396,96,71,0,113,recovery
