scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,0,0,50000,96,healthy,99,healthy,0,12.5,16.8,18.8,208033,4.0,8033,8033,184,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,1,50000,100000,96,healthy,99,healthy,0,12.5,16.8,18.7,208137,4.1,8137,8137,165,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,2,100000,150000,96,healthy,99,healthy,0,12.5,16.8,18.7,208104,4.1,8104,8104,193,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,3,150000,200000,96,mild_slow,99,healthy,1,12.6,17.6,22.8,209052,4.5,9052,9052,894,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,4,200000,250000,96,mild_slow,99,healthy,1,12.6,17.5,22.9,209207,4.6,9207,9207,887,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,5,250000,300000,96,mild_slow,99,healthy,2,12.6,17.7,25.6,209151,4.6,9151,9151,1211,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,6,300000,350000,96,severe_slow,99,healthy,2,12.6,17.9,28.5,209357,4.7,9357,9357,1593,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,7,350000,400000,96,severe_slow,99,healthy,2,12.6,17.8,28.3,209355,4.7,9355,9355,1505,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,8,400000,450000,96,severe_slow,99,healthy,3,12.6,18.4,51.4,209814,4.9,9814,9814,1839,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,9,450000,500000,96,severe_slow,99,healthy,3,12.6,18.4,51.2,209729,4.9,9729,9729,1858,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,10,500000,550000,96,recovery,99,healthy,2,12.6,18.5,33.4,209898,4.9,9898,9898,1847,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,11,550000,600000,96,recovery,99,mild_slow,3,12.6,19.0,54.6,209880,4.9,9880,9880,1880,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,12,600000,650000,96,healthy,99,mild_slow,2,12.6,18.0,29.1,209664,4.8,9664,9664,1720,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,13,650000,700000,96,healthy,99,mild_slow,2,12.6,18.0,28.8,209349,4.7,9349,9349,1671,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,14,700000,750000,96,healthy,99,severe_slow,2,12.6,17.9,51.7,209237,4.6,9237,9237,1660,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,15,750000,800000,96,healthy,99,severe_slow,1,12.6,17.8,25.1,209309,4.7,9309,9309,1573,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,16,800000,850000,96,healthy,99,severe_slow,1,12.6,17.9,25.5,209283,4.6,9283,9283,1626,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,17,850000,900000,96,healthy,99,recovery,0,12.5,17.0,19.2,208470,4.2,8470,8470,232,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,18,900000,950000,96,healthy,99,healthy,0,12.5,16.8,18.8,208090,4.0,8090,8090,175,0,0,0
dynamic_overlap_100d_4pct_hdd,100,44,1000000,5000,1.0,timeout_degraded_read,15.0,19,950000,1000000,96,healthy,99,healthy,0,12.5,16.8,18.8,208183,4.1,8183,8183,197,0,0,0
