scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.7,208102,4.1,8102,8102,165,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.8,18.8,208123,4.1,8123,8123,169,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.7,208110,4.1,8110,8110,198,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.6,17.5,23.0,209203,4.6,9203,9203,905,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.6,17.6,23.1,209214,4.6,9214,9214,949,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.6,17.5,23.2,209236,4.6,9236,9236,923,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.6,17.7,25.3,209238,4.6,9238,9238,1585,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.6,17.8,25.4,209338,4.7,9338,9338,1652,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.6,17.7,25.4,209184,4.6,9184,9184,1584,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.6,17.7,23.3,209388,4.7,9388,9388,956,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.6,17.6,23.3,209241,4.6,9241,9241,934,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.6,17.8,25.5,209355,4.7,9355,9355,1663,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.6,17.8,25.3,209299,4.6,9299,9299,1615,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.6,17.7,25.3,209351,4.7,9351,9351,1582,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.6,17.6,23.1,209335,4.7,9335,9335,985,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,15,750000,800000,98,recovery,99,recovery,0,12.6,17.1,19.7,208974,4.5,8974,8974,274,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,208097,4.0,8097,8097,187,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.7,208029,4.0,8029,8029,173,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.8,208094,4.0,8094,8094,194,0,0,0
dynamic_realistic_100d_2pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.7,18.7,207918,4.0,7918,7918,220,0,0,0
