scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.8,18.7,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,20.3,201000,0.5,1000,1000,972,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,17.0,19.3,201157,0.6,1157,1157,1130,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.3,200604,0.3,604,604,593,4,4,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,16.9,19.1,200735,0.4,735,735,731,1,1,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.9,19.0,200756,0.4,756,756,753,1,1,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.8,200725,0.4,725,725,723,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,201382,0.7,1382,1382,1347,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,19.0,201543,0.8,1543,1543,1521,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.9,200892,0.4,892,892,889,6,2,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200811,0.4,811,811,811,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200779,0.4,779,779,776,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.5,16.9,19.0,200784,0.4,784,784,770,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.8,18.8,200699,0.3,699,699,658,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200502,0.3,502,502,394,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.8,200220,0.1,220,220,178,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.8,200086,0.0,86,86,67,0,0,0
dynamic_realistic_100d_2pct_hdd,100,44,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.9,18.9,200041,0.0,41,41,34,0,0,0
