scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,0,0,50000,80,healthy,90,healthy,0,12.5,16.8,18.7,208102,4.1,8102,8102,165,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,1,50000,100000,80,healthy,90,healthy,0,12.5,16.8,18.8,208123,4.1,8123,8123,169,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,2,100000,150000,80,healthy,90,healthy,0,12.5,16.8,18.7,208110,4.1,8110,8110,198,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,3,150000,200000,80,mild_slow,90,healthy,10,12.8,27.6,36.3,211715,5.9,11715,11715,1944,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,4,200000,250000,80,mild_slow,90,healthy,10,12.8,27.6,36.0,211680,5.8,11680,11680,1942,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,5,250000,300000,80,mild_slow,90,healthy,10,12.8,27.6,36.0,211647,5.8,11647,11647,1869,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,6,300000,350000,80,severe_slow,90,healthy,10,12.8,60.8,79.1,211636,5.8,11636,11636,3032,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,7,350000,400000,80,severe_slow,90,healthy,10,12.8,61.0,78.9,211750,5.9,11750,11750,3136,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,8,400000,450000,80,severe_slow,90,healthy,10,12.8,60.4,78.2,211620,5.8,11620,11620,3096,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,9,450000,500000,80,recovery,90,mild_slow,10,13.0,27.4,35.9,214015,7.0,14015,14015,2238,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,10,500000,550000,80,recovery,90,mild_slow,10,13.0,27.4,35.9,213901,7.0,13901,13901,2270,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,11,550000,600000,80,healthy,90,severe_slow,10,12.8,60.2,78.1,211633,5.8,11633,11633,3191,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,12,600000,650000,80,healthy,90,severe_slow,10,12.8,59.9,78.5,211564,5.8,11564,11564,3220,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,13,650000,700000,80,healthy,90,severe_slow,10,12.8,60.4,79.5,211609,5.8,11609,11609,3106,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,14,700000,750000,80,mild_slow,90,recovery,10,13.0,28.6,36.2,214051,7.0,14051,14051,1949,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,15,750000,800000,80,recovery,90,recovery,0,13.0,19.9,23.9,213278,6.6,13278,13278,750,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,16,800000,850000,80,healthy,90,healthy,0,12.5,16.8,18.8,208097,4.0,8097,8097,187,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,17,850000,900000,80,healthy,90,healthy,0,12.5,16.8,18.7,208029,4.0,8029,8029,173,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,18,900000,950000,80,healthy,90,healthy,0,12.5,16.8,18.8,208094,4.0,8094,8094,194,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,timeout_degraded_read,15.0,19,950000,1000000,80,healthy,90,healthy,0,12.5,16.7,18.7,207918,4.0,7918,7918,220,0,0,0
