scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,seed,policy,window_id,p99_ms,bandwidth_overhead_pct,migration_triggers
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,0,18.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,1,18.9,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,2,18.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,3,27.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,4,27.5,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,5,27.4,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,6,63.1,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,7,63.6,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,8,62.3,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,9,27.6,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,10,27.3,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,11,64.1,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,12,64.5,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,13,64.1,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,14,27.5,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,15,19.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,16,18.9,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,17,18.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,18,18.8,0.0,0
realistic_2pct,vanilla_ec,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,vanilla_ec,19,18.9,0.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,0,15.4,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,1,15.5,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,2,15.4,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,3,15.8,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,4,15.8,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,5,15.7,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,6,15.8,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,7,15.8,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,8,15.9,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,9,16.6,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,10,16.4,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,11,15.8,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,12,15.7,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,13,15.7,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,14,16.6,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,15,15.9,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,16,15.4,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,17,15.4,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,18,15.5,25.0,0
realistic_2pct,late_binding,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,late_binding,19,15.4,25.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,0,18.7,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,1,18.8,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,2,18.7,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,3,23.2,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,4,23.1,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,5,23.0,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,6,25.4,4.6,0
