scenario_id,strategy_id,scenario,seed,num_disks,num_stripes,k,m,shard_size_bytes,migrated_shards,migrated_bytes,full_disk_bytes,cost_ratio,full_disk_cost_multiplier,stripe_level_migrated_stripes,stripe_level_migrated_shards,stripe_level_bytes,stripe_level_cost_ratio,pre_slowdown_migrations,migration_true_positives,migration_false_positives,migration_false_negatives
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,42,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,585
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,42,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,593
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,42,100,5000,4,2,4096,23,94208,2457600,0.038333,26.086957,11,66,270336,0.11,0,22,1,544
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,42,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,20,0,550
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,43,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,580
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,43,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,588
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,43,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,540
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,43,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,544
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,44,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,571
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,44,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,579
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,44,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,21,0,530
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,44,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,537
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,45,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,596
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,45,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,604
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,45,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,19,0,556
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,45,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,18,0,562
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,46,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,593
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,46,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,602
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,46,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,21,0,554
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,46,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,20,0,559
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,47,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,592
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,47,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,600
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,47,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,552
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,47,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,558
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,48,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,579
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,48,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,589
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,48,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,20,0,543
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,48,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,20,0,546
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,49,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,589
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,49,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,598
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,49,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,550
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,49,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,20,0,555
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,50,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,589
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,50,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,597
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,50,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,19,0,550
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,50,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,552
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,51,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,581
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,51,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,589
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,51,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,540
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,51,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,20,0,547
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,52,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,584
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,52,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,592
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,52,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,19,0,545
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,52,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,18,0,550
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,53,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,576
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,53,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,584
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,53,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,19,0,537
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,53,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,541
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,54,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,591
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,54,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,599
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,54,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,21,0,552
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,54,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,557
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,55,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,584
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,55,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,592
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,55,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,20,0,543
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,55,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,549
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,56,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,596
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,56,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,604
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,56,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,20,0,556
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,56,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,562
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,57,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,580
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,57,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,588
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,57,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,539
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,57,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,546
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,58,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,592
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,58,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,600
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,58,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,20,0,554
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,58,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,20,0,558
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,59,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,585
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,59,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,594
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,59,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,20,0,547
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,59,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,551
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,60,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,587
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,60,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,595
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,60,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,547
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,60,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,19,0,553
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,61,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,588
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,61,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,596
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,61,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,547
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,61,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,20,0,553
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,62,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,583
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,62,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,591
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,62,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,21,0,543
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,62,100,5000,4,2,4096,21,86016,2457600,0.035,28.571429,11,66,270336,0.11,0,20,0,546
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,63,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,577
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,63,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,586
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,63,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,22,0,538
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,63,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,18,0,543
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,64,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,593
realistic_2pct,migration_disabled,dynamic_realistic_100d_2pct_hdd,64,100,5000,4,2,4096,0,0,2457600,0,inf,0,0,0,0,0,0,0,602
realistic_2pct,threshold_d2_a010,dynamic_realistic_100d_2pct_hdd,64,100,5000,4,2,4096,22,90112,2457600,0.036667,27.272727,11,66,270336,0.11,0,18,0,555
realistic_2pct,threshold_d2_a005,dynamic_realistic_100d_2pct_hdd,64,100,5000,4,2,4096,20,81920,2457600,0.033333,30,10,60,245760,0.1,0,18,0,560
realistic_2pct,t28_default,dynamic_realistic_100d_2pct_hdd,65,100,5000,4,2,4096,4,16384,2457600,0.006667,150,2,12,49152,0.02,0,4,0,575
