scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,248246,4,31,188,88,59,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,249862,4,31,187,87,41,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,290684,5,14,86,86,40,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,303458,6,31,186,86,9,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,303603,6,14,84,84,35,1,34,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,304749,6,13,81,81,9,1,10,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,304851,6,31,189,89,77,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,304986,6,14,85,85,93,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,305213,6,14,87,87,64,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,305233,6,13,80,80,65,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,451488,9,14,85,93,5,1,96,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,453126,9,16,97,97,62,1,116,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,454065,9,16,96,96,40,1,111,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,454065,9,16,99,99,19,1,126,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,454178,9,16,98,98,60,1,121,mild_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,553882,11,15,92,92,62,1,92,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,554637,11,33,198,98,46,1,122,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,555133,11,33,199,99,31,1,127,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,555861,11,15,91,91,4,1,87,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,558858,11,15,93,93,47,1,97,severe_slow
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,560377,11,15,90,90,42,1,82,severe_slow
