scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,read_index,window_id,stripe_id,shard_id,source_disk,target_disk,is_migration_positive,event_id,disk_state
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,153234,3,13,80,80,59,1,1,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,153234,3,13,81,81,39,1,9,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,157515,3,14,87,87,39,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,158378,3,14,84,84,18,1,33,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,158609,3,30,181,81,43,1,9,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,158703,3,14,85,85,43,1,41,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,161551,3,31,187,87,9,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,161650,3,14,86,86,62,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,161943,3,31,186,86,1,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,162213,3,31,188,88,29,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,162487,3,31,189,89,94,1,73,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,163888,3,30,183,83,29,1,25,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,168824,3,81,488,88,79,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,169104,3,81,489,89,18,1,73,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,169181,3,30,182,82,23,1,17,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,169715,3,81,486,86,65,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,171325,3,47,284,84,65,1,33,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,172392,3,80,483,83,13,1,25,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,173003,3,98,588,88,32,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,174452,3,30,180,80,72,1,1,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,176807,3,81,487,87,70,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,176981,3,47,282,82,76,1,17,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,176981,3,47,285,85,9,1,41,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,178480,3,98,589,89,77,1,73,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,192049,3,48,288,88,9,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,196181,3,48,289,89,47,1,73,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,199056,3,131,788,88,55,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,211257,4,47,283,83,99,1,25,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,215970,4,131,789,89,27,1,73,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,231551,4,80,482,82,97,1,17,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,241075,4,131,787,87,26,1,57,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,254106,5,131,786,86,31,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,263664,5,63,380,80,8,1,1,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,276680,5,181,1086,86,34,1,49,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,286254,5,148,888,88,17,1,65,mild_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,300785,6,64,384,84,71,1,34,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,301396,6,148,889,89,39,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,303802,6,64,385,85,34,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,307871,6,64,387,87,18,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,309207,6,64,386,86,20,1,50,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,313450,6,63,381,81,40,1,10,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,319041,6,80,480,80,10,1,2,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,321596,6,198,1189,89,39,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,327261,6,181,1087,87,23,1,58,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,328210,6,181,1088,88,65,1,66,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,329109,6,181,1089,89,26,1,74,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,335287,6,97,585,85,91,1,42,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,339198,6,198,1188,88,25,1,66,severe_slow
dynamic_stress_100d_20pct_hdd,100,46,1000000,5000,1.0,health_ec,15.0,341383,6,80,481,81,12,1,10,severe_slow
