scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,0,0,50000,96,healthy,99,healthy,0,10.7,14.0,15.4,250000,25.0,50000,50000,39904,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,1,50000,100000,96,healthy,99,healthy,0,10.7,14.0,15.5,250000,25.0,50000,50000,40119,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,2,100000,150000,96,healthy,99,healthy,0,10.7,14.0,15.4,250000,25.0,50000,50000,40024,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,3,150000,200000,96,mild_slow,99,healthy,1,10.8,14.2,15.8,250000,25.0,50000,50000,39663,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,4,200000,250000,96,mild_slow,99,healthy,1,10.8,14.1,15.8,250000,25.0,50000,50000,39746,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,5,250000,300000,96,mild_slow,99,healthy,2,10.8,14.6,21.9,250000,25.0,50000,50000,39888,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,6,300000,350000,96,severe_slow,99,healthy,2,10.8,14.7,27.2,250000,25.0,50000,50000,39718,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,7,350000,400000,96,severe_slow,99,healthy,2,10.8,14.7,27.3,250000,25.0,50000,50000,39746,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,8,400000,450000,96,severe_slow,99,healthy,3,10.8,14.9,51.9,250000,25.0,50000,50000,39879,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,9,450000,500000,96,severe_slow,99,healthy,3,10.8,14.9,51.1,250000,25.0,50000,50000,39871,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,10,500000,550000,96,recovery,99,healthy,2,10.8,14.7,26.7,250000,25.0,50000,50000,40192,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,11,550000,600000,96,recovery,99,mild_slow,3,10.8,15.4,51.5,250000,25.0,50000,50000,39815,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,12,600000,650000,96,healthy,99,mild_slow,2,10.8,15.0,27.4,250000,25.0,50000,50000,40002,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,13,650000,700000,96,healthy,99,mild_slow,2,10.8,14.9,27.4,250000,25.0,50000,50000,39778,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,14,700000,750000,96,healthy,99,severe_slow,2,10.8,14.8,52.0,250000,25.0,50000,50000,39833,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,15,750000,800000,96,healthy,99,severe_slow,1,10.8,14.4,16.8,250000,25.0,50000,50000,40046,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,16,800000,850000,96,healthy,99,severe_slow,1,10.8,14.3,16.8,250000,25.0,50000,50000,39890,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,17,850000,900000,96,healthy,99,recovery,0,10.7,14.0,15.5,250000,25.0,50000,50000,40190,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,18,900000,950000,96,healthy,99,healthy,0,10.7,14.0,15.5,250000,25.0,50000,50000,40025,0,0,0
dynamic_overlap_100d_4pct_hdd,100,42,1000000,5000,1.0,late_binding,15.0,19,950000,1000000,96,healthy,99,healthy,0,10.7,14.0,15.4,250000,25.0,50000,50000,40010,0,0,0
