scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,0,0,50000,96,healthy,99,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,1,50000,100000,96,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,2,100000,150000,96,healthy,99,healthy,0,12.5,16.8,18.7,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,3,150000,200000,96,mild_slow,99,healthy,1,12.5,17.0,20.4,200514,0.3,514,514,496,1,1,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,4,200000,250000,96,mild_slow,99,healthy,1,12.5,17.0,19.6,200711,0.4,711,711,696,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,5,250000,300000,96,mild_slow,99,healthy,2,12.5,17.3,22.6,200893,0.4,893,893,891,1,1,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,6,300000,350000,96,severe_slow,99,healthy,2,12.6,17.4,26.0,200999,0.5,999,999,999,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,7,350000,400000,96,severe_slow,99,healthy,2,12.5,17.3,24.4,201042,0.5,1042,1042,1042,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,8,400000,450000,96,severe_slow,99,healthy,3,12.6,17.7,47.4,201423,0.7,1423,1423,1407,1,1,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,9,450000,500000,96,severe_slow,99,healthy,3,12.6,17.7,48.0,201627,0.8,1627,1627,1616,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,10,500000,550000,96,recovery,99,healthy,2,12.5,17.2,21.3,201636,0.8,1636,1636,1625,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,11,550000,600000,96,recovery,99,mild_slow,3,12.6,17.8,35.6,201639,0.8,1639,1639,1587,2,2,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,12,600000,650000,96,healthy,99,mild_slow,2,12.6,17.4,24.1,201586,0.8,1586,1586,1212,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,13,650000,700000,96,healthy,99,mild_slow,2,12.6,17.4,24.2,201382,0.7,1382,1382,1202,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,14,700000,750000,96,healthy,99,severe_slow,2,12.6,17.5,46.7,201183,0.6,1183,1183,1049,1,1,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,15,750000,800000,96,healthy,99,severe_slow,1,12.5,16.9,19.1,201074,0.5,1074,1074,1041,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,16,800000,850000,96,healthy,99,severe_slow,1,12.5,16.9,19.2,201037,0.5,1037,1037,1009,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,17,850000,900000,96,healthy,99,recovery,0,12.5,16.8,18.9,200906,0.5,906,906,814,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,18,900000,950000,96,healthy,99,healthy,0,12.5,16.8,18.8,200583,0.3,583,583,462,0,0,0
dynamic_overlap_100d_4pct_hdd,100,45,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,96,healthy,99,healthy,0,12.5,16.8,18.8,200308,0.2,308,308,254,0,0,0
