scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,0,0,50000,96,healthy,99,healthy,0,12.5,16.8,18.8,208083,4.0,8083,8083,174,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,1,50000,100000,96,healthy,99,healthy,0,12.5,16.8,18.7,208137,4.1,8137,8137,174,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,2,100000,150000,96,healthy,99,healthy,0,12.5,16.8,18.8,208130,4.1,8130,8130,215,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,3,150000,200000,96,mild_slow,99,healthy,1,12.6,17.5,22.9,209308,4.7,9308,9308,875,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,4,200000,250000,96,mild_slow,99,healthy,1,12.6,17.5,22.7,208993,4.5,8993,8993,874,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,5,250000,300000,96,mild_slow,99,healthy,2,12.6,17.8,25.5,209270,4.6,9270,9270,1260,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,6,300000,350000,96,severe_slow,99,healthy,2,12.6,17.8,28.4,209360,4.7,9360,9360,1579,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,7,350000,400000,96,severe_slow,99,healthy,2,12.6,17.8,28.4,209252,4.6,9252,9252,1592,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,8,400000,450000,96,severe_slow,99,healthy,3,12.6,18.4,51.9,209702,4.9,9702,9702,1888,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,9,450000,500000,96,severe_slow,99,healthy,3,12.6,18.5,51.9,209791,4.9,9791,9791,1915,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,10,500000,550000,96,recovery,99,healthy,2,12.6,18.5,33.2,209735,4.9,9735,9735,1801,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,11,550000,600000,96,recovery,99,mild_slow,3,12.6,18.8,53.1,209912,5.0,9912,9912,1889,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,12,600000,650000,96,healthy,99,mild_slow,2,12.6,17.9,28.3,209392,4.7,9392,9392,1565,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,13,650000,700000,96,healthy,99,mild_slow,2,12.6,18.0,28.4,209491,4.7,9491,9491,1601,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,14,700000,750000,96,healthy,99,severe_slow,2,12.6,17.9,52.1,209212,4.6,9212,9212,1670,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,15,750000,800000,96,healthy,99,severe_slow,1,12.6,17.9,25.5,209353,4.7,9353,9353,1638,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,16,800000,850000,96,healthy,99,severe_slow,1,12.6,17.8,25.3,209345,4.7,9345,9345,1596,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,17,850000,900000,96,healthy,99,recovery,0,12.5,17.0,19.3,208621,4.3,8621,8621,229,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,18,900000,950000,96,healthy,99,healthy,0,12.5,16.8,18.8,208031,4.0,8031,8031,185,0,0,0
dynamic_overlap_100d_4pct_hdd,100,48,1000000,5000,1.0,timeout_degraded_read,15.0,19,950000,1000000,96,healthy,99,healthy,0,12.5,16.8,18.7,208135,4.1,8135,8135,160,0,0,0
