scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,0,0,50000,96,healthy,99,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,1,50000,100000,96,healthy,99,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,2,100000,150000,96,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,3,150000,200000,96,mild_slow,99,healthy,1,12.5,17.1,20.6,200242,0.1,242,242,237,5,5,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,4,200000,250000,96,mild_slow,99,healthy,1,12.5,17.0,19.6,200413,0.2,413,413,403,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,5,250000,300000,96,mild_slow,99,healthy,2,12.6,17.2,21.5,200650,0.3,650,650,647,6,6,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,6,300000,350000,96,severe_slow,99,healthy,2,12.6,17.1,21.6,200659,0.3,659,659,657,4,3,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,7,350000,400000,96,severe_slow,99,healthy,2,12.5,17.2,21.2,200740,0.4,740,740,739,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,8,400000,450000,96,severe_slow,99,healthy,3,12.5,17.4,35.2,200876,0.4,876,876,871,8,8,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,9,450000,500000,96,severe_slow,99,healthy,3,12.5,17.3,33.8,200902,0.5,902,902,892,4,4,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,10,500000,550000,96,recovery,99,healthy,2,12.5,17.1,20.1,200948,0.5,948,948,941,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,11,550000,600000,96,recovery,99,mild_slow,3,12.5,17.4,29.7,201074,0.5,1074,1074,1042,8,7,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,12,600000,650000,96,healthy,99,mild_slow,2,12.6,17.2,21.4,201098,0.5,1098,1098,852,2,2,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,13,650000,700000,96,healthy,99,mild_slow,2,12.5,17.1,20.8,200970,0.5,970,970,758,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,14,700000,750000,96,healthy,99,severe_slow,2,12.5,17.2,33.3,200829,0.4,829,829,700,3,3,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,15,750000,800000,96,healthy,99,severe_slow,1,12.5,16.9,19.1,200734,0.4,734,734,686,1,1,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,16,800000,850000,96,healthy,99,severe_slow,1,12.5,16.9,19.0,200689,0.3,689,689,669,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,17,850000,900000,96,healthy,99,recovery,0,12.5,16.8,18.9,200681,0.3,681,681,604,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,18,900000,950000,96,healthy,99,healthy,0,12.5,16.8,18.8,200521,0.3,521,521,404,0,0,0
dynamic_overlap_100d_4pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,96,healthy,99,healthy,0,12.5,16.8,18.8,200303,0.2,303,303,245,0,0,0
