scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,0,0,50000,96,healthy,99,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,1,50000,100000,96,healthy,99,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,2,100000,150000,96,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,3,150000,200000,96,mild_slow,99,healthy,1,12.5,17.1,20.6,200752,0.4,752,752,734,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,4,200000,250000,96,mild_slow,99,healthy,1,12.5,17.0,19.8,200990,0.5,990,990,971,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,5,250000,300000,96,mild_slow,99,healthy,2,12.6,17.5,23.8,201088,0.5,1088,1088,1087,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,6,300000,350000,96,severe_slow,99,healthy,2,12.6,17.6,28.1,201359,0.7,1359,1359,1359,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,7,350000,400000,96,severe_slow,99,healthy,2,12.6,17.6,27.4,201455,0.7,1455,1455,1454,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,8,400000,450000,96,severe_slow,99,healthy,3,12.6,18.1,52.1,201674,0.8,1674,1674,1670,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,9,450000,500000,96,severe_slow,99,healthy,3,12.6,18.0,51.9,201899,0.9,1899,1899,1890,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,10,500000,550000,96,recovery,99,healthy,2,12.5,17.4,23.7,201903,1.0,1903,1903,1892,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,11,550000,600000,96,recovery,99,mild_slow,3,12.6,18.3,45.2,201990,1.0,1990,1990,1961,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,12,600000,650000,96,healthy,99,mild_slow,2,12.6,17.7,27.8,201901,1.0,1901,1901,1545,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,13,650000,700000,96,healthy,99,mild_slow,2,12.6,17.7,27.2,201766,0.9,1766,1766,1509,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,14,700000,750000,96,healthy,99,severe_slow,2,12.6,17.9,51.0,201624,0.8,1624,1624,1476,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,15,750000,800000,96,healthy,99,severe_slow,1,12.6,17.0,19.4,201604,0.8,1604,1604,1562,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,16,800000,850000,96,healthy,99,severe_slow,1,12.5,17.0,19.3,201505,0.8,1505,1505,1490,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,17,850000,900000,96,healthy,99,recovery,0,12.5,16.8,18.8,201152,0.6,1152,1152,1027,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,18,900000,950000,96,healthy,99,healthy,0,12.5,16.8,18.8,200559,0.3,559,559,456,0,0,0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,96,healthy,99,healthy,0,12.5,16.8,18.9,200346,0.2,346,346,277,0,0,0
