scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,20.4,200635,0.3,635,635,625,1,1,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,17.0,19.5,200845,0.4,845,845,830,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.3,200878,0.4,878,878,861,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,16.9,19.1,200920,0.5,920,920,919,1,1,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,200976,0.5,976,976,975,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.8,200984,0.5,984,984,980,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,201163,0.6,1163,1163,1148,1,1,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,201073,0.5,1073,1073,1062,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200982,0.5,982,982,980,1,1,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.9,18.9,200999,0.5,999,999,992,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200970,0.5,970,970,968,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.5,16.9,19.0,201025,0.5,1025,1025,1014,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.8,18.9,200883,0.4,883,883,819,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200501,0.3,501,501,400,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.9,200176,0.1,176,176,150,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.9,200096,0.0,96,96,77,0,0,0
dynamic_realistic_100d_2pct_hdd,100,50,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.8,200036,0.0,36,36,28,0,0,0
