scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.7,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,21.1,200891,0.4,891,891,878,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,17.0,19.5,201114,0.6,1114,1114,1085,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.3,201290,0.6,1290,1290,1262,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,16.9,19.0,201360,0.7,1360,1360,1356,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,201497,0.7,1497,1497,1495,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,201485,0.7,1485,1485,1484,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,17.0,19.2,201482,0.7,1482,1482,1460,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,201476,0.7,1476,1476,1453,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,201478,0.7,1478,1478,1475,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.8,18.7,201529,0.8,1529,1529,1523,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,201495,0.7,1495,1495,1487,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.6,17.0,19.2,201486,0.7,1486,1486,1471,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.9,19.1,201151,0.6,1151,1151,1085,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200485,0.2,485,485,394,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.7,200235,0.1,235,235,189,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.9,18.8,200090,0.0,90,90,74,0,0,0
dynamic_realistic_100d_2pct_hdd,100,56,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.8,200027,0.0,27,27,22,0,0,0
