scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.5,17.1,20.7,200223,0.1,223,223,218,7,7,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.5,17.0,19.6,200381,0.2,381,381,368,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,16.9,19.3,200489,0.2,489,489,480,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.5,17.0,19.2,200595,0.3,595,595,594,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.5,16.8,19.0,200622,0.3,622,622,619,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.5,16.8,18.9,200634,0.3,634,634,633,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.5,16.9,19.2,200760,0.4,760,760,750,7,7,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.5,16.9,19.1,200722,0.4,722,722,714,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200687,0.3,687,687,685,2,2,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.5,16.8,18.9,200632,0.3,632,632,629,1,1,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.5,16.8,18.8,200636,0.3,636,636,635,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.5,17.0,19.0,200664,0.3,664,664,656,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,15,750000,800000,98,recovery,99,recovery,0,12.5,16.9,19.0,200614,0.3,614,614,581,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.8,200458,0.2,458,458,364,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.8,200206,0.1,206,206,165,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.8,200083,0.0,83,83,67,0,0,0
dynamic_realistic_100d_2pct_hdd,100,66,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.7,200048,0.0,48,48,38,0,0,0
