scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,0,0,50000,98,healthy,99,healthy,0,12.5,16.8,18.8,208042,4.0,8042,8042,195,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,1,50000,100000,98,healthy,99,healthy,0,12.5,16.8,18.7,208011,4.0,8011,8011,170,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,2,100000,150000,98,healthy,99,healthy,0,12.5,16.8,18.7,208075,4.0,8075,8075,186,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,3,150000,200000,98,mild_slow,99,healthy,1,12.6,17.5,23.1,209076,4.5,9076,9076,921,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,4,200000,250000,98,mild_slow,99,healthy,1,12.6,17.5,23.1,209226,4.6,9226,9226,966,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,5,250000,300000,98,mild_slow,99,healthy,1,12.5,17.6,22.9,209059,4.5,9059,9059,947,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,6,300000,350000,98,severe_slow,99,healthy,1,12.6,17.8,25.6,209239,4.6,9239,9239,1629,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,7,350000,400000,98,severe_slow,99,healthy,1,12.6,17.8,25.4,209211,4.6,9211,9211,1611,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,8,400000,450000,98,severe_slow,99,healthy,1,12.6,17.7,25.2,209122,4.6,9122,9122,1607,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,9,450000,500000,98,recovery,99,mild_slow,1,12.6,17.7,23.5,209348,4.7,9348,9348,1028,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,10,500000,550000,98,recovery,99,mild_slow,1,12.6,17.7,23.5,209311,4.7,9311,9311,995,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,11,550000,600000,98,healthy,99,severe_slow,1,12.6,17.8,25.1,209234,4.6,9234,9234,1576,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,12,600000,650000,98,healthy,99,severe_slow,1,12.6,17.9,25.4,209395,4.7,9395,9395,1635,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,13,650000,700000,98,healthy,99,severe_slow,1,12.6,17.8,25.2,209295,4.6,9295,9295,1611,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,14,700000,750000,98,mild_slow,99,recovery,1,12.6,17.7,23.2,209292,4.6,9292,9292,930,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,15,750000,800000,98,recovery,99,recovery,0,12.6,17.1,19.7,208788,4.4,8788,8788,328,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,16,800000,850000,98,healthy,99,healthy,0,12.5,16.8,18.7,208191,4.1,8191,8191,173,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,17,850000,900000,98,healthy,99,healthy,0,12.5,16.8,18.7,208108,4.1,8108,8108,201,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,18,900000,950000,98,healthy,99,healthy,0,12.5,16.8,18.7,208119,4.1,8119,8119,209,0,0,0
dynamic_realistic_100d_2pct_hdd,100,69,1000000,5000,1.0,timeout_degraded_read,15.0,19,950000,1000000,98,healthy,99,healthy,0,12.5,16.8,18.7,208145,4.1,8145,8145,201,0,0,0
