scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,0,0,50000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,1,50000,100000,80,healthy,90,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,2,100000,150000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,3,150000,200000,80,mild_slow,90,healthy,10,12.8,27.3,36.7,202115,1.1,2115,2115,1746,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,4,200000,250000,80,mild_slow,90,healthy,10,12.8,26.2,35.0,202940,1.5,2940,2940,2433,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,5,250000,300000,80,mild_slow,90,healthy,10,12.8,26.1,35.0,203028,1.5,3028,3028,2511,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,6,300000,350000,80,severe_slow,90,healthy,10,12.8,58.9,78.7,203696,1.8,3696,3696,3066,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,7,350000,400000,80,severe_slow,90,healthy,10,12.8,58.6,77.3,203976,2.0,3976,3976,3290,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,8,400000,450000,80,severe_slow,90,healthy,10,12.8,58.1,76.1,204072,2.0,4072,4072,3345,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,9,450000,500000,80,recovery,90,mild_slow,10,13.0,27.0,36.8,204701,2.4,4701,4701,3557,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,10,500000,550000,80,recovery,90,mild_slow,10,13.0,26.3,35.4,204689,2.3,4689,4689,3634,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,11,550000,600000,80,healthy,90,severe_slow,10,12.8,59.1,78.4,204049,2.0,4049,4049,3314,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,12,600000,650000,80,healthy,90,severe_slow,10,12.8,58.1,76.7,204047,2.0,4047,4047,3459,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,13,650000,700000,80,healthy,90,severe_slow,10,12.8,58.3,76.9,203971,2.0,3971,3971,3347,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,14,700000,750000,80,mild_slow,90,recovery,10,13.0,26.9,36.5,205362,2.7,5362,5362,4559,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,15,750000,800000,80,recovery,90,recovery,0,12.9,18.8,22.8,204071,2.0,4071,4071,3402,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,16,800000,850000,80,healthy,90,healthy,0,12.4,16.8,18.8,201199,0.6,1199,1199,971,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,17,850000,900000,80,healthy,90,healthy,0,12.5,16.8,18.8,200317,0.2,317,317,252,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,18,900000,950000,80,healthy,90,healthy,0,12.5,16.8,18.9,200100,0.1,100,100,75,0,0,0
dynamic_stress_100d_20pct_hdd,100,43,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,80,healthy,90,healthy,0,12.5,16.8,18.7,200029,0.0,29,29,25,0,0,0
