scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,0,0,50000,80,healthy,90,healthy,0,12.5,16.9,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,1,50000,100000,80,healthy,90,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,2,100000,150000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,3,150000,200000,80,mild_slow,90,healthy,10,12.8,27.4,36.7,202209,1.1,2209,2209,1755,2,2,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,4,200000,250000,80,mild_slow,90,healthy,10,12.7,25.9,35.3,202854,1.4,2854,2854,2312,1,1,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,5,250000,300000,80,mild_slow,90,healthy,10,12.8,25.7,34.9,203095,1.5,3095,3095,2560,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,6,300000,350000,80,severe_slow,90,healthy,10,12.7,54.1,77.3,202894,1.4,2894,2894,2426,7,7,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,7,350000,400000,80,severe_slow,90,healthy,10,12.7,53.0,75.7,203070,1.5,3070,3070,2603,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,8,400000,450000,80,severe_slow,90,healthy,10,12.7,52.2,74.9,203087,1.5,3087,3087,2570,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,9,450000,500000,80,recovery,90,mild_slow,10,12.9,26.5,36.4,204047,2.0,4047,4047,3022,5,5,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,10,500000,550000,80,recovery,90,mild_slow,10,12.9,25.4,35.3,203803,1.9,3803,3803,2951,1,1,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,11,550000,600000,80,healthy,90,severe_slow,10,12.7,54.7,77.8,203340,1.7,3340,3340,2649,5,5,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,12,600000,650000,80,healthy,90,severe_slow,10,12.7,52.3,75.6,203090,1.5,3090,3090,2528,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,13,650000,700000,80,healthy,90,severe_slow,10,12.7,52.1,75.1,203112,1.6,3112,3112,2584,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,14,700000,750000,80,mild_slow,90,recovery,10,12.8,24.9,35.9,203721,1.9,3721,3721,3221,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,15,750000,800000,80,recovery,90,recovery,0,12.8,18.5,22.4,203253,1.6,3253,3253,2723,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,16,800000,850000,80,healthy,90,healthy,0,12.4,16.8,18.8,201236,0.6,1236,1236,963,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,17,850000,900000,80,healthy,90,healthy,0,12.5,16.8,18.9,200295,0.1,295,295,242,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,18,900000,950000,80,healthy,90,healthy,0,12.5,16.8,18.8,200090,0.0,90,90,69,0,0,0
dynamic_stress_100d_20pct_hdd,100,59,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,80,healthy,90,healthy,0,12.5,16.8,18.9,200031,0.0,31,31,26,0,0,0
