scenario,num_disks,seed,num_reads,num_stripes,zipf_s,policy,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms,p95_ms,p99_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,0,0,50000,80,healthy,90,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,1,50000,100000,80,healthy,90,healthy,0,12.5,16.8,18.9,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,2,100000,150000,80,healthy,90,healthy,0,12.5,16.8,18.8,200000,0.0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,3,150000,200000,80,mild_slow,90,healthy,10,12.7,23.7,36.4,200937,0.5,937,937,751,37,37,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,4,200000,250000,80,mild_slow,90,healthy,10,12.7,19.7,34.1,201172,0.6,1172,1172,974,4,4,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,5,250000,300000,80,mild_slow,90,healthy,10,12.7,20.1,34.5,201411,0.7,1411,1411,1180,1,1,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,6,300000,350000,80,severe_slow,90,healthy,10,12.7,20.5,75.1,201798,0.9,1798,1798,1503,21,20,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,7,350000,400000,80,severe_slow,90,healthy,10,12.7,19.9,72.9,201986,1.0,1986,1986,1612,5,5,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,8,400000,450000,80,severe_slow,90,healthy,10,12.6,19.3,71.1,201981,1.0,1981,1981,1616,1,1,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,9,450000,500000,80,recovery,90,mild_slow,10,12.8,24.9,36.5,202926,1.5,2926,2926,2092,41,39,1
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,10,500000,550000,80,recovery,90,mild_slow,10,12.7,21.4,34.2,202384,1.2,2384,2384,1785,4,4,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,11,550000,600000,80,healthy,90,severe_slow,10,12.7,24.0,76.2,202354,1.2,2354,2354,1818,21,20,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,12,600000,650000,80,healthy,90,severe_slow,10,12.6,20.7,72.7,202268,1.1,2268,2268,1808,9,9,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,13,650000,700000,80,healthy,90,severe_slow,10,12.6,19.7,72.3,202160,1.1,2160,2160,1744,2,2,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,14,700000,750000,80,mild_slow,90,recovery,10,12.7,19.6,34.6,202374,1.2,2374,2374,2018,2,2,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,15,750000,800000,80,recovery,90,recovery,0,12.7,17.9,21.4,201974,1.0,1974,1974,1632,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,16,800000,850000,80,healthy,90,healthy,0,12.5,16.8,18.9,201013,0.5,1013,1013,830,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,17,850000,900000,80,healthy,90,healthy,0,12.5,16.8,18.8,200264,0.1,264,264,208,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,18,900000,950000,80,healthy,90,healthy,0,12.5,16.8,18.8,200098,0.0,98,98,83,0,0,0
dynamic_stress_100d_20pct_hdd,100,63,1000000,5000,1.0,health_ec,15.0,19,950000,1000000,80,healthy,90,healthy,0,12.5,16.8,18.9,200045,0.0,45,45,35,0,0,0
